chembl_id,pref_name,smiles,mw,logp,tpsa,heavy_atoms,num_atoms,num_hba,num_hbd,num_rotatable_bonds,num_rings,num_aromatic_rings
CHEMBL1098319,2-MERCAPTOETHANESULFONIC ACID,O=S(=O)(O)CCS,142.2,-0.2,54.37,7,7,3,2,2,0,0
CHEMBL291338,"3,3',4',5-TETRACHLOROSALICYLANILIDE",O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,351.02,5.26,49.33,20,20,2,2,2,2,2
CHEMBL1380,ABACAVIR,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,286.34,1.09,101.88,21,21,6,3,4,4,2
CHEMBL2205807,ABAMETAPIR,Cc1ccc(-c2ccc(C)cn2)nc1,184.24,2.76,25.78,14,14,2,0,1,2,2
CHEMBL3301610,ABEMACICLIB,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,506.61,4.94,75.0,37,37,7,1,7,5,4
CHEMBL254328,ABIRATERONE,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,349.52,5.4,33.12,26,26,2,1,1,5,1
CHEMBL271227,ABIRATERONE ACETATE,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,391.56,5.97,39.19,29,29,3,0,2,5,1
CHEMBL3655081,ABROCITINIB,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,323.42,1.25,90.98,22,22,5,2,6,3,2
CHEMBL3707348,ACALABRUTINIB,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,465.52,3.31,118.51,35,35,6,2,4,5,4
CHEMBL1201293,ACAMPROSATE,CC(=O)NCCCS(=O)(=O)O,181.21,-0.6,83.47,11,11,3,2,4,0,0
CHEMBL404271,ACARBOSE,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,645.61,-8.56,321.17,44,44,19,14,9,4,0
CHEMBL642,ACEBUTOLOL,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,336.43,2.37,87.66,24,24,5,3,10,1,1
CHEMBL70246,ACEFYLLINE,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,238.2,-1.48,99.12,17,17,4,1,2,2,2
CHEMBL189171,ACEMETACIN,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,415.83,3.47,94.83,29,29,5,1,6,3,3
CHEMBL397420,ACENOCOUMAROL,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,353.33,3.52,110.65,26,26,6,1,5,3,3
CHEMBL112,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,151.16,1.35,49.33,11,11,2,2,1,1,1
CHEMBL269644,ACETANILIDE,CC(=O)Nc1ccccc1,135.17,1.64,29.1,10,10,1,1,1,1,1
CHEMBL20,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,-0.86,115.04,13,13,6,2,2,1,1
CHEMBL1589,ACETOHEXAMIDE,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,324.4,2.21,92.34,22,22,4,2,4,2,1
CHEMBL1085,ACETOPHENAZINE,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,411.57,3.49,47.02,29,29,6,1,7,4,2
CHEMBL1201327,ACETRIZOIC ACID,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,556.86,3.16,66.4,16,16,2,2,2,1,1
CHEMBL600,ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O,163.2,-0.49,66.4,10,10,3,3,3,0,0
CHEMBL3545057,ACETYLDIGITOXIN,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,806.99,3.82,188.9,57,57,14,4,8,8,0
CHEMBL345714,ACIPIMOX,Cc1cnc(C(=O)O)c[n+]1[O-],154.12,-0.28,77.13,11,11,3,1,1,1,1
