SMILES,SMILES_state,NLL
CCCCCCOc1ccc2cc(-c3ccc4c(c3)Sc3ccc(C=C5SC(=S)N(CC(=O)O)C5=O)cc3N4CCCCCCN(C)C)sc2c1,1,36.96
COc1ccc(-c2c(-c3ccc4ccccc4c3)c(-c3cccs3)nc3c2c2ccccc2n3C)cc1,1,29.47
N#CC(=Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(C=O)s5)c5nsnc45)s3)s2)s1)C(=O)O,1,28.89
N#CC(=Cc1ccc(C#Cc2ccc3ccc4cccc5ccc2c3c45)s1)C(=O)O,1,20.7
c1ccc(C2CCC2)cc1,1,20.2
CCCCCCOc1ccc(C=C(C(=O)OCC)[N+](=O)[O-])cc1OCCCCCC,1,24.55
COc1cc(C=Cc2ccc(C)cc2)nc(C=Cc2ccc(C)cc2)n1,1,23.59
CC(C)=CCOc1cc(C=O)cc2c([N+](=O)[O-])cccc12,1,33.11
CCCCCCc1cc(-c2ccc(-c3ccc4c(c3)c3ccc(-c5ccc(C=C(C#N)C(=O)O)s5)cc3n4CCCCCC)s2)sc1-c1ccc(C=C(C#N)C(=O)O)s1,1,34.78
CCCCCCOc1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5cc6ccc(OCCCCCC)cc6oc5=O)s4)s3)cc2)cc1,1,29.38
C(C=Cc1ccc(C=Cc2ccc(C=CC=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1)=Cc1ccccc1,1,20.2
CCCCCn1c(-c2sc(-c3cc(C=C(C#N)C(=O)O)cc4nc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)sc34)c3ccccc23)cc2ccsc21,1,53.19
COC(=O)c1ccc(OCc2noc(-c3ccccc3C)n2)c(OCc2ccc(OC)cc2)c1,1,39.55
COc1nc(Nc2ccccc2)nc(N2CCOCC2)n1,1,20.32
Cc1nn(-c2ccccc2)cc1C(=O)Nc1ccc(C(=O)C=Cc2ccc(N(C)CCO)cc2)cc1,1,23.75
COc1cc(C=Cc2c(OC)c3ccc(N4CCCCC4)cc3oc2=O)ccc1N1C(=O)CC(C)(C)c2ccccc21,1,39.55
CCCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3cccc4sc(-c5ccc(-c6ccc(C=O)o6)s5)nc34)cc2)cc1,1,34.18
CCCCCCCC(CC)c1ccc2oc3ccc4ccccc4[n+]3c2c1,1,35.48
CCCc1ccc(-c2ccc3nc4ccccc4c(=O)n3c2)cc1,1,25.64
