mol_id,cid,smiles,inchikey,formula,iupac_name,scaffold_id,scaffold_name,scaffold_class,scaffold_smarts,murcko_scaffold,mw,logp,tpsa,hbd,hba,rotb,heavy_atoms,rings,aromatic_rings,fraction_csp3,bertz_ct
MOL_00001,3053252,CC(C)(C)C1(O)CCN(CC2c3ccccc3Oc3ccccc32)CC1,KXYGPLYFRIMYOX-UHFFFAOYSA-N,C23H30ClNO2,4-tert-butyl-1-(9H-xanthen-9-ylmethyl)piperidin-4-ol;hydrochloride,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Oc1ccccc1C2CN1CCCCC1,351.49,4.797,32.7,1,3,2,26,4,2,0.4783,739.29
MOL_00002,135564966,NC(=O)CCC(C(=O)O)N(CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3n2)cc1,ZMTAPBHUSYTHBY-UHFFFAOYSA-N,C42H36N10O10S,"(2S)-5-amino-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]-[2-[(3',6'-dihydroxy-3-oxospiro[2-benzofuran-1,9'-xanthene]-5-yl)carbamothioylamino]ethyl]amino]-5-oxopentanoic acid",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(NCCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccccc2Oc2ccccc21)c1ccc(NCc2cnc3nc[nH]c(=O)c3n2)cc1,872.877,3.034,310.33,9,15,13,63,8,6,0.1667,2875.41
MOL_00003,46840960,COC1OC(C)C(C)c2c(C)c3c(c(O)c21)C1OC(C)C(C)c2c(C)c(O)c(C4OC(C)C(C)c5c(C)c(O)cc(O)c54)c(c21)O3,GIHKMCLRUJERAC-UHFFFAOYSA-N,C37H44O9,"(1R,7R,8S,18S,19R)-14-[(1S,3R,4S)-6,8-dihydroxy-3,4,5-trimethyl-3,4-dihydro-1H-isochromen-1-yl]-5-methoxy-7,8,10,16,18,19-hexamethyl-6,12,20-trioxapentacyclo[11.7.1.02,11.04,9.017,21]henicosa-2(11),3,9,13(21),14,16-hexaene-3,15-diol",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)CCOC2c1ccc2c3c1Oc1cc4c(cc1C3OCC2)COCC4,632.75,7.93,127.07,4,9,2,46,7,3,0.5135,1795.19
MOL_00004,6433718,O=C1OC2(c3cc(Br)c([O-])c(Br)c3Oc3c2cc(Br)c([O-])c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,ZYIBVBKZZZDFOY-UHFFFAOYSA-L,C20H2Br4Cl4Na2O5,"disodium;2',4',5',7'-tetrabromo-4,5,6,7-tetrachloro-3-oxospiro[2-benzofuran-1,9'-xanthene]-3',6'-diolate",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,783.659,8.065,81.65,0,5,0,33,5,3,0.05,1396.58
MOL_00005,45254702,CC1(COc2cc(F)c3c(c2)C2(COC(N)=N2)c2cc(-c4cccnc4F)ccc2O3)COC1,LGJGOLQXJZLXOK-UHFFFAOYSA-N,C25H21F2N3O4,"(4S)-4'-fluoro-7'-(2-fluoro-3-pyridinyl)-2'-[(3-methyloxetan-3-yl)methoxy]spiro[5H-1,3-oxazole-4,9'-xanthene]-2-amine",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,C1=NC2(CO1)c1cc(OCC3COC3)ccc1Oc1ccc(-c3cccnc3)cc12,465.456,4.136,88.19,1,7,4,34,6,3,0.28,1341.73
MOL_00006,132054363,COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc3c(c2)C(C)c2ccc4cc(-c5cnc(C6CCCN6C(=O)C(NC(=O)OC)C(C)C)[nH]5)ccc4c2O3)[nH]1)C(C)C,BPLXIAPCPXUWBZ-UHFFFAOYSA-N,C46H54N8O7,methyl N-[(2S)-1-[(2S)-2-[5-[9-[2-[(2S)-1-[(2S)-2-(methoxycarbonylamino)-3-methylbutanoyl]pyrrolidin-2-yl]-1H-imidazol-5-yl]-7-methyl-7H-benzo[c]xanthen-3-yl]-1H-imidazol-2-yl]pyrrolidin-1-yl]-3-methyl-1-oxobutan-2-yl]carbamate,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)Cc1ccc3cc(-c4cnc(C5CCCN5)[nH]4)ccc3c1O2,830.987,7.966,183.87,4,9,10,61,8,5,0.4348,2474.4
MOL_00007,5275953,CCc1cn(C2OC(CNC(=O)C3c4cccc(Cl)c4Oc4c(Cl)cccc43)C(O)C2F)c(=O)[nH]c1=O,OOMJWTYBJMNACZ-UHFFFAOYSA-N,C25H22Cl2FN3O6,"4,5-dichloro-N-[[(2R,3R,4S,5R)-5-(5-ethyl-2,4-dioxopyrimidin-1-yl)-4-fluoro-3-hydroxyoxolan-2-yl]methyl]-9H-xanthene-9-carboxamide",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(NCC1CCC(n2ccc(=O)[nH]c2=O)O1)C1c2ccccc2Oc2ccccc21,550.37,3.056,122.65,3,6,5,37,5,3,0.32,1440.48
MOL_00008,100418,O=C(CCc1ccccc1)c1c(O)c(Cc2ccccc2O)c2c(c1O)Cc1ccccc1O2,IWPNHPPGEPHKBZ-UHFFFAOYSA-N,C29H24O5,"1-[1,3-dihydroxy-4-[(2-hydroxyphenyl)methyl]-9H-xanthen-2-yl]-3-phenylpropan-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(CCc1ccccc1)c1cc(Cc2ccccc2)c2c(c1)Cc1ccccc1O2,452.506,5.906,86.99,3,5,6,34,5,4,0.1379,1375.16
MOL_00009,274104,O=C(O)c1c(Br)c(Br)c(Br)c(Br)c1C1c2ccc(O)cc2Oc2cc(O)ccc21,ABKDQIYZBHXIDA-UHFFFAOYSA-N,C20H10Br4O5,"2,3,4,5-tetrabromo-6-(3,6-dihydroxy-9H-xanthen-9-yl)benzoic acid",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc(C2c3ccccc3Oc3ccccc32)cc1,649.911,7.132,86.99,3,4,2,29,4,3,0.05,1140.72
MOL_00010,94437,O=S1(=O)OC2(c3ccccc31)c1ccc(O)c(O)c1Oc1c2ccc(O)c1O,KUQNCHZOCSYKOR-UHFFFAOYSA-N,C19H12O8S,"1,1-dioxospiro[2,1lambda6-benzoxathiole-3,9'-xanthene]-3',4',5',6'-tetrol",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=S1(=O)OC2(c3ccccc3Oc3ccccc32)c2ccccc21,400.364,2.626,133.52,4,8,0,28,5,3,0.0526,1221.83
