dataset,chembl_id,pref_name,smiles,inchikey,scaffold_class,core_name_ru,core_smiles,ring_system,chem_class,typical_use,core_examples,all_matched_cores,n_matched_cores,is_multicore,murcko_scaffold,murcko_generic,mw,heavy_atoms,clogp,tpsa,hbd,hba,rotb,rings,aromatic_rings,fsp3,n_stereocenters,qed,max_phase,natural_product
chembl_scaffold_classes,CHEMBL104255,FLAVOKAWAIN B,COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(OC)c1,QKQLSQLKXBHUSO-CMDGGOBGSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C=Cc1ccccc1)c1ccccc1,CC(CCC1CCCCC1)C1CCCCC1,284.31,21,3.306,55.76,1,4,5,2,2,0.1176,0,0.68,,1
chembl_scaffold_classes,CHEMBL105310,"2',4'-DIHYDROXYCHALCONE",O=C(/C=C/c1ccccc1)c1ccc(O)cc1O,JUMSUVHHUVPSOY-RMKNXTFCSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C=Cc1ccccc1)c1ccccc1,CC(CCC1CCCCC1)C1CCCCC1,240.26,18,2.994,57.53,2,3,3,2,2,0.0,0,0.64,,1
chembl_scaffold_classes,CHEMBL105496,4-METHOXY CHALCONE,COc1ccc(/C=C/C(=O)c2ccccc2)cc1,XUFXKBJMCRJATM-FMIVXFBMSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C=Cc1ccccc1)c1ccccc1,CC(CCC1CCCCC1)C1CCCCC1,238.29,18,3.591,26.3,0,2,4,2,2,0.0625,0,0.6,,1
chembl_scaffold_classes,CHEMBL1093254,RHUSCHALCONE VI,O=C(/C=C/c1ccc(O)c(-c2cc(C(=O)/C=C/c3ccc(O)cc3)c(O)cc2O)c1)c1ccc(O)cc1O,GKIHPJBWPIVSEV-HULALXFYSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C=Cc1cccc(-c2cccc(C(=O)C=Cc3ccccc3)c2)c1)c1ccccc1,CC(CCC1CCCC(C2CCCC(C(C)CCC3CCCCC3)C2)C1)C1CCCCC1,510.5,38,5.379,155.52,6,8,7,4,4,0.0,0,0.14,,1
chembl_scaffold_classes,CHEMBL110057,TRIOXIFENE,COc1ccc(C2=C(C(=O)c3ccc(OCCN4CCCC4)cc3)c3ccccc3CC2)cc1,IHGLINDYFMDHJG-UHFFFAOYSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C1=C(c2ccccc2)CCc2ccccc21)c1ccc(OCCN2CCCC2)cc1,CC(C1CCC(CCCC2CCCC2)CC1)C1C2CCCCC2CCC1C1CCCCC1,453.58,34,5.91,38.77,0,4,8,5,3,0.3,0,0.4,2.0,0
chembl_scaffold_classes,CHEMBL115452,BROUSSOCHALCONE A,CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)c(O)c2)c(O)cc1O,FEALTYYKRMRXTG-QPJJXVBHSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C=Cc1ccccc1)c1ccccc1,CC(CCC1CCCCC1)C1CCCCC1,340.38,25,3.914,97.99,4,5,5,2,2,0.15,0,0.29,,1
chembl_scaffold_classes,CHEMBL1169613,BARTERICIN A,C=C(C)C(O)Cc1cc(C(=O)/C=C/c2ccc(O)c(CC=C(C)C)c2)c(O)cc1O,HJJNGNVCQLTMCE-JXMROGBWSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C=Cc1ccccc1)c1ccccc1,CC(CCC1CCCCC1)C1CCCCC1,408.49,30,4.688,97.99,4,5,8,2,2,0.24,1,0.29,,1
chembl_scaffold_classes,CHEMBL1169874,STIPULIN,CC(C)=CCc1cc(/C=C/C(=O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O,UENVXGIVHQSJHZ-XYOKQWHBSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C=Cc1ccccc1)c1ccccc1,CC(CCC1CCCCC1)C1CCCCC1,392.5,29,5.717,77.76,3,4,7,2,2,0.24,0,0.32,,1
chembl_scaffold_classes,CHEMBL1172317,6-HYDROXY-4'-CHLORO AURONE,O=C1/C(=C/c2ccc(Cl)cc2)Oc2cc(O)ccc21,BDTDMWIIDULIHT-AUWJEWJLSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C1C(=Cc2ccccc2)Oc2ccccc21,CC1C2CCCCC2CC1CC1CCCCC1,272.69,19,3.662,46.53,1,3,1,3,2,0.0,0,0.81,,1
chembl_scaffold_classes,CHEMBL1240547,,COc1ccc(/C=C(\C(=O)c2ccc(Br)cc2)S(=O)(=O)Cc2ccc(Cl)cc2)c(O)c1,AEYTZUPSJLRANI-WSDLNYQXSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)Cc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)CC1CCCCC1,521.82,31,5.656,80.67,1,5,7,3,3,0.087,0,0.32,,0
