smiles,label,umap1,umap2
O=S(=O)(O)CCS,chembl,-3.0809226,7.31561
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,chembl,-2.4045415,7.3387527
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,chembl,-2.8544822,5.619263
Cc1ccc(-c2ccc(C)cn2)nc1,chembl,-1.5215104,4.723226
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,chembl,-2.12313,5.373067
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,chembl,-3.3143857,5.1948366
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,chembl,-3.609897,5.6953645
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,chembl,-2.5396547,5.6559396
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,chembl,-1.8877257,6.844131
CC(=O)NCCCS(=O)(=O)O,chembl,-3.0174954,7.43502
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,chembl,-3.1308148,4.953663
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,chembl,-2.8215058,7.951527
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,chembl,-2.7175536,6.33694
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,chembl,-2.1275527,9.305059
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,chembl,-3.5327015,10.903144
CC(=O)Nc1ccc(O)cc1,chembl,-2.7251942,7.525843
CC(=O)Nc1ccccc1,chembl,-1.3377076,7.806621
CC(=O)Nc1nnc(S(N)(=O)=O)s1,chembl,-2.9481,7.3611207
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,chembl,-3.102196,6.6671977
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,chembl,0.18757597,7.282869
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,chembl,-2.9862573,7.3107452
CC(=O)N[C@@H](CS)C(=O)O,chembl,-3.545949,7.401021
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,chembl,-4.207721,5.711576
Cc1cnc(C(=O)O)c[n+]1[O-],chembl,-3.0121427,7.2583327
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,chembl,-2.0082312,8.963463
Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,chembl,-2.5659516,7.611073
Nc1c2ccccc2nc2ccccc12,chembl,0.52340263,5.5693083
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,chembl,-2.6251671,6.9008636
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,chembl,-3.1050901,5.7163553
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,chembl,-2.058019,6.208397
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,chembl,-2.1041791,9.190607
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,chembl,-3.0813134,6.227875
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,chembl,-3.0385294,5.569899
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,chembl,-3.1131318,5.7959733
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,chembl,-2.2597115,7.120266
COc1ccc2cccc(CCNC(C)=O)c2c1,chembl,-1.7790583,9.414421
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,chembl,-2.5979857,6.261754
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,chembl,-2.3591592,7.9312897
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,chembl,-2.2911496,4.5383883
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,chembl,-0.7577949,6.0372605
C=CCOc1ccc(CC(=O)O)cc1Cl,chembl,-2.5231225,7.5595503
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,chembl,-4.243316,5.8416514
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,chembl,-1.8486093,5.3958764
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,chembl,-3.2370975,6.9167767
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,chembl,-3.519785,5.0055475
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,chembl,-1.2346735,7.419068
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,chembl,-2.5317087,8.474229
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,chembl,-2.5921075,8.246911
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,chembl,-3.381681,5.796198
Oc1ncnc2[nH]ncc12,chembl,-1.6437179,4.734568
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,chembl,-2.2063584,5.31322
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,chembl,-2.4403546,5.8517876
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,chembl,-1.4695299,5.81664
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,chembl,0.42517573,6.5464716
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,chembl,-2.7919188,6.6270905
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,chembl,-2.2061636,7.2923346
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,chembl,-0.80076355,5.71293
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,chembl,-0.13559322,9.1150875
CN(C)c1nc(N(C)C)nc(N(C)C)n1,chembl,-2.0769188,4.8005095
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,chembl,-1.6401342,7.367719
NC12CC3CC(CC(C3)C1)C2,chembl,-2.7798765,4.900811
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,chembl,-1.145244,7.954548
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,chembl,-4.337311,5.675732
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,chembl,-3.4048111,6.152636
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,chembl,-3.627191,6.0948687
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,chembl,-2.2842538,7.0767493
NCCCNCCSP(=O)(O)O,chembl,-3.2402804,6.9816437
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,chembl,-3.5117176,6.23014
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,chembl,-2.779095,7.2002587
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,chembl,-1.3879458,7.0918837
NCCCCCC(=O)O,chembl,-3.4490921,7.217116
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,chembl,-2.7424064,5.3652167
Nc1ccc(C(=O)NCC(=O)O)cc1,chembl,-2.7069435,7.700634
NCC(=O)CCC(=O)O,chembl,-3.4053018,7.2083797
Cn1c(=O)c2[nH]cnc2n(C)c1=O,chembl,-2.3019347,5.607058
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,chembl,-0.2895641,7.0144973
NC1=NCC(c2ccccc2)O1,chembl,-0.34882048,6.242093
Nc1ccc(C(=O)O)c(O)c1,chembl,-3.0371928,7.4194565
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,chembl,-0.051241226,8.3556185
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,chembl,-2.6638193,8.392326
CN(C)CCC=C1c2ccccc2CCc2ccccc21,chembl,0.15710516,6.420371
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,chembl,-2.7998111,7.364521
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,chembl,-2.0701966,7.721197
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,chembl,-3.1232736,5.338502
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,chembl,-1.5272326,5.4252114
COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,chembl,-2.5632806,8.706923
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,chembl,-2.7663937,4.9398603
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,chembl,-1.0986062,5.8001776
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,chembl,-3.2507849,6.584887
CC(N)Cc1ccccc1,chembl,-0.41374847,7.3803787
O=C(O)CCCCC(=O)O,chembl,-3.4782898,7.275437
NC(CC(=O)O)C(=O)O,chembl,-3.5335467,7.364071
C[C@H](N)Cc1ccccc1,chembl,-0.40814525,7.3908715
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,chembl,-3.8511825,6.0669703
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,-1.581777,7.239765
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,chembl,-1.6089814,7.741472
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,chembl,-1.7413745,8.756554
CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,chembl,-3.984244,5.693089
Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)cn2n1,chembl,-2.3118017,6.1460104
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,chembl,-1.7990854,5.4568195
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,chembl,-1.5361505,4.9170923
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,chembl,-1.2283429,7.301379
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,chembl,-1.7372591,9.662852
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,chembl,-0.4532902,6.724651
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,chembl,-2.2341719,6.8071666
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,chembl,-2.0900493,6.0847096
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,chembl,-1.7508628,9.813415
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,chembl,-0.88256854,6.1629033
Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,chembl,-1.7997459,5.0134454
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,chembl,-1.8967782,8.634765
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,chembl,-2.5979195,6.0197525
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,chembl,-3.1366045,5.3283644
NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,chembl,-2.8019977,7.17271
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,chembl,-2.408406,4.578883
