SMILES,canon,score,prior,agent,lambda_nm,qed,max_tc_train,murcko_generic,on_target,valid,clean,step
CCCCOc1ccc(CC(C#N)=Cc2ccc(C=C(C#N)C#N)c3c2OCCO3)c(OCCCC)c1,CCCCOc1ccc(CC(C#N)=Cc2ccc(C=C(C#N)C#N)c3c2OCCO3)c(OCCCC)c1,0.881808,55.272,42.7071,427.8066,0.2466,0.4262295081967213,C1CCC(CCCC2CCCC3CCCCC32)CC1,False,True,True,1
CC(C)(C)c1ccc(-c2ccc(-c3c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4ccc(C(C)(C)C)cc4c4cc5cc6c(c(C(C)(C)C)cc7c8cc(C(C)(C)C)ccc8n5c76)c5ccc(C(C)(C)C)c6c5cc(C(C)(C)C)cc6n34)cc2)cc1,CC(C)(C)c1ccc(-c2ccc(-c3c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4ccc(C(C)(C)C)cc4c4cc5cc6c(c(C(C)(C)C)cc7c8cc(C(C)(C)C)ccc8n5c76)c5ccc(C(C)(C)C)c6c5cc(C(C)(C)C)cc6n34)cc2)cc1,0.0,89.9142,82.4133,0.0,0.0,0.2948717948717949,C1CCC(C2CCC(C3C(C4CCCCC4)C4CCCCC4C4CC5CC6C(CCC7C8CCCCC8C5C67)C5CCCC6C5CCCC6C43)CC2)CC1,False,True,False,1
COc1ccc(-c2csc(-c3cc[n+](CC(=O)c4ccc(N(C)C)cc4)cc3)n2)cc1,COc1ccc(-c2csc(-c3cc[n+](CC(=O)c4ccc(N(C)C)cc4)cc3)n2)cc1,0.9167769,34.525,25.4342,433.515,0.3144,0.3692307692307692,CC(CC1CCC(C2CCC(C3CCCCC3)C2)CC1)C1CCCCC1,False,True,True,1
CCCCCCCCCCCc1ccc(-n2c3ccccc3c3cc(C=C(C#N)C(=O)O)ccc32)cc1,CCCCCCCCCCCc1ccc(-n2c3ccccc3c3cc(C=C(C#N)C(=O)O)ccc32)cc1,0.0,42.0206,30.6821,0.0,0.0,0.6666666666666666,C1CCC(C2C3CCCCC3C3CCCCC32)CC1,False,True,False,1
N#CC(C#N)=Cc1sc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)cc1F,N#CC(C#N)=Cc1sc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)cc1F,0.935894,45.4418,31.8566,470.6686,0.2266,0.4848484848484848,C1CCC(C2CCC(C3CCC(C4C5CCCCC5C5CCCCC54)CC3)C2)C1,True,True,True,1
N#CC(=Cc1ccc(-c2ccc(-c3ccc4ccc(=O)oc4c3)cc2)o1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,N#CC(=Cc1ccc(-c2ccc(-c3ccc4ccc(=O)oc4c3)cc2)o1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,0.9228909,51.0587,33.0461,449.5136,0.1381,0.6,CC1CCC2CCC(C3CCC(C4CCC(CCC5CCC(C(C6CCCCC6)C6CCCCC6)CC5)C4)CC3)CC2C1,False,True,True,1
CN(CCC(=O)O)S(=O)(=O)c1ccc2c(c1)C(C)(S(=O)(=O)c1ccccc1)c1cc(S(=O)(=O)O)ccc1N2CCCS(=O)(=O)O,CN(CCC(=O)O)S(=O)(=O)c1ccc2c(c1)C(C)(S(=O)(=O)c1ccccc1)c1cc(S(=O)(=O)O)ccc1N2CCCS(=O)(=O)O,0.0,58.0531,49.833,0.0,0.0,0.3181818181818182,CC(C)(C1CCCCC1)C1C2CCCCC2CC2CCCCC21,False,True,False,1
CN(C)c1ccc2cc3ccccc3c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c2c1,CN(C)c1ccc2cc3ccccc3c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c2c1,0.888889,36.5351,27.2991,428.6246,0.2382,0.5,C1CCC2C(C1)CC1CCCCC1C2C1CCC(C2C3CCCCC3C3CCCCC32)CC1,False,True,True,1
COc1ccc2cc(C(=O)Nc3ccc(Cl)cc3)c(=O)oc2c1,COc1ccc2cc(C(=O)Nc3ccc(Cl)cc3)c(=O)oc2c1,0.0268247,25.4594,22.0227,359.0781,0.7437,0.48,CC(CC1CCCCC1)C1CC2CCCCC2CC1C,False,True,True,1
CCOC(=O)c1c2c(cc3c1=C1C=CC=C1NN3)=c1cc(OC)c(OC)cc1=CC=C2,CCOC(=O)c1c2c(cc3c1=C1C=CC=C1NN3)=c1cc(OC)c(OC)cc1=CC=C2,0.0,49.4816,41.1901,0.0,0.0,0.2297297297297297,C1CCC2C(C1)CCCC1CC3C(CCC4CCCC43)CC12,False,True,False,1
Cn1c(-c2ccc(C(F)(F)F)cc2)c(C=NNc2ccc([N+](=O)[O-])cc2)c2cc(Cl)ccc21,Cn1c(-c2ccc(C(F)(F)F)cc2)c(C=NNc2ccc([N+](=O)[O-])cc2)c2cc(Cl)ccc21,0.0,41.8618,36.7634,0.0,0.0,0.32,C1CCC(CCCC2C3CCCCC3CC2C2CCCCC2)CC1,False,True,False,1
COc1cc(-c2ccc(C=CC(=O)O)s2)ccc1C(=O)O,COc1cc(-c2ccc(C=CC(=O)O)s2)ccc1C(=O)O,0.0,31.0962,26.4609,0.0,0.0,0.3492063492063492,C1CCC(C2CCCC2)CC1,False,True,False,1
CCCCn1c2ccccc2c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc(C=C(C#N)C(=O)O)c21,CCCCn1c2ccccc2c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc(C=C(C#N)C(=O)O)c21,0.0,43.9924,29.0523,0.0,0.0,0.581081081081081,C1CCC(C(C2CCCCC2)C2CCC(C3CCC4CC5CCCCC5C43)CC2)CC1,False,True,False,1
C1=CC=C2C(c3ccccc3)=CC=CC(c3ccccc3)=Cc3c(c4cc(c3-c3nsnc32)-c2ccccc2C(c2ccccc2)=C4)C=C1,C1=CC=C2C(c3ccccc3)=CC=CC(c3ccccc3)=Cc3c(c4cc(c3-c3nsnc32)-c2ccccc2C(c2ccccc2)=C4)C=C1,0.0,57.1257,54.5318,0.0,0.0,0.2205882352941176,C1CCC(C2CCCC(C3CCCCC3)C3CCCCCC4C5CC(C6CCCCC6)C6CCCCC6C(C5)C(C4C2)C2CCCC32)CC1,False,True,False,1
CCCCn1c(-c2ccc3cc(C=C(C#N)C#N)ccc3c2)nc(C=Cc2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)c1C#N,CCCCn1c(-c2ccc3cc(C=C(C#N)C#N)ccc3c2)nc(C=Cc2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)c1C#N,0.9021746,57.776,41.9241,438.1617,0.1307,0.4418604651162791,C1CCC(C(C2CCCCC2)C2CCC(CCC3CCC(C4CCC5CCCCC5C4)C3)CC2)CC1,False,True,True,1
CCCCOc1cc2ccccc2cc1C=Cc1ccc2c3ccccc3n(CCCC)c2c1,CCCCOc1cc2ccccc2cc1C=Cc1ccc2c3ccccc3n(CCCC)c2c1,0.0858098,39.0339,31.6756,373.58,0.1623,0.4776119402985074,C1CCC2CC(CCC3CCC4C(C3)CC3CCCCC34)CCC2C1,False,True,True,1
CCCCNc1nc(N)c2cn(S(=O)(=O)c3ccccc3)c(F)c2n1,CCCCNc1nc(N)c2cn(S(=O)(=O)c3ccccc3)c(F)c2n1,0.0552836,35.9884,36.6246,367.7224,0.6527,0.2345679012345679,CC(C)(C1CCCCC1)C1CC2CCCCC2C1,False,True,True,1
CCC1=c2c(CC)c3ccc(=[N+](CC)CC)cc-3oc2=C1,CCC1=c2c(CC)c3ccc(=[N+](CC)CC)cc-3oc2=C1,0.0582379,47.3308,32.9455,551.6736,0.7846,0.3666666666666666,CC1CCC2CC3CCC3CC2C1,False,True,True,1
C[n+]1cc(-c2ccc(Br)cc2)c2cc(-c3ccccc3)c(-c3ccc(C(C)(C)C)cc3)nn21,C[n+]1cc(-c2ccc(Br)cc2)c2cc(-c3ccccc3)c(-c3ccc(C(C)(C)C)cc3)nn21,0.0553643,44.5614,41.0694,368.1005,0.2413,0.3714285714285714,C1CCC(C2CCC3CC(C4CCCCC4)C(C4CCCCC4)CC32)CC1,False,True,True,1
N=C1C=CC2=c3nccc(-c4ccccc4)c3=NC2=C1OCC(=O)O,N=C1C=CC2=c3nccc(-c4ccccc4)c3=NC2=C1OCC(=O)O,0.0,51.0276,45.726,0.0,0.0,0.2166666666666666,CC1CCC2C(C1)CC1C(C3CCCCC3)CCCC21,False,True,False,1
CCN(CC)c1ccc2cc(-c3c4ccc(N(CC)CC)cc4nc4ccc(N(C)C)cc34)ccc2c1,CCN(CC)c1ccc2cc(-c3c4ccc(N(CC)CC)cc4nc4ccc(N(C)C)cc34)ccc2c1,0.9004555,41.7179,29.9499,487.5933,0.2057,0.4186046511627907,C1CCC2CC(C3C4CCCCC4CC4CCCCC43)CCC2C1,False,True,True,1
N#CC(=Cc1nc2nc(-c3c(O)ccc4ccccc34)c(OCc3ccccc3)nc2s1)C(=O)O,N#CC(=Cc1nc2nc(-c3c(O)ccc4ccccc34)c(OCc3ccccc3)nc2s1)C(=O)O,0.0,54.317,39.8369,0.0,0.0,0.3670886075949367,C1CCC(CCC2CC3CCCC3CC2C2CCCC3CCCCC32)CC1,False,True,False,1
CCCCCCCCCc1ccc(-c2nc(CCCCCCCC)sc2-c2c(CCCCCCCC)cc3cc2N=c2c(cc(CCCCCC)c4nsnc24)=C3CCCCCC)cc1,CCCCCCCCCc1ccc(-c2nc(CCCCCCCC)sc2-c2c(CCCCCCCC)cc3cc2N=c2c(cc(CCCCCC)c4nsnc24)=C3CCCCCC)cc1,0.0,80.0972,71.7835,0.0,0.0386,0.3232323232323232,C1CCC(C2CCCC2C2CCC3CC4CCC5CCCC5C4CC2C3)CC1,False,True,True,1
Cn1cnc2c(-c3ccc(-c4ccccc4C(F)(F)F)o3)nn(-c3cccc(Cl)c3)c2c1=O,Cn1cnc2c(-c3ccc(-c4ccccc4C(F)(F)F)o3)nn(-c3cccc(Cl)c3)c2c1=O,0.0071467,44.4408,38.3655,344.0903,0.3382,0.2613636363636363,CC1CCCC2C(C3CCC(C4CCCCC4)C3)CC(C3CCCCC3)C12,False,True,True,1
Cc1ccc(-c2ncnc3c2oc2cc(O)ccc23)cc1,Cc1ccc(-c2ncnc3c2oc2cc(O)ccc23)cc1,0.0031544,31.6734,26.5555,334.5055,0.5693,0.4259259259259259,C1CCC(C2CCCC3C4CCCCC4CC23)CC1,False,True,True,1
CN(C)c1ccc(-c2cccc3c2oc2ccccc23)cc1,CN(C)c1ccc(-c2cccc3c2oc2ccccc23)cc1,0.0021988,28.3936,22.4537,330.4022,0.4959,0.3695652173913043,C1CCC(C2CCCC3C4CCCCC4CC23)CC1,False,True,True,1
Brc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(-c4ccc(N(c5ccc(-c6ccccn6)cc5)c5ccc(-c6cccs6)cc5)cc4)cc3)cc2)cc1,Brc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(-c4ccc(N(c5ccc(-c6ccccn6)cc5)c5ccc(-c6cccs6)cc5)cc4)cc3)cc2)cc1,0.3918467,46.2604,40.3163,395.7592,0.1211,0.4680851063829787,C1CCC(C2CCC(C(C3CCC(C4CCCC4)CC3)C3CCC(C4CCC(CCC5CCC(C(C6CCCCC6)C6CCCCC6)CC5)CC4)CC3)CC2)CC1,False,True,True,1
O=C(O)c1ncc2ncc(-c3ccccc3)nn12,O=C(O)c1ncc2ncc(-c3ccccc3)nn12,0.0,28.5778,27.9852,0.0,0.0,0.3658536585365853,C1CCC(C2CCC3CCCC3C2)CC1,False,True,False,1
Cc1ccc(C=NN=Cc2cc(Br)cc(Br)c2O)c(C)c1,Cc1ccc(C=NN=Cc2cc(Br)cc(Br)c2O)c(C)c1,0.0,31.7258,27.0481,0.0,0.0,0.2926829268292683,C1CCC(CCCCC2CCCCC2)CC1,False,True,False,1
Fc1cc(C#CC#CC#Cc2cc(F)c(C#Cc3cc(F)c(F)c(F)c3)c(F)c2)cc(F)c1F,Fc1cc(C#CC#CC#Cc2cc(F)c(C#Cc3cc(F)c(F)c(F)c3)c(F)c2)cc(F)c1F,0.0,38.6168,30.6846,0.0,0.0,0.2564102564102564,C(CCCC1CCC(CCC2CCCCC2)CC1)CCC1CCCCC1,False,True,False,1
COc1cc2c(cc1OC)C1c3ccccc3C(C2)c2cc(-c3ccccc3)ccc21,COc1cc2c(cc1OC)C1c3ccccc3C(C2)c2cc(-c3ccccc3)ccc21,6.37e-05,40.6089,34.178,290.0768,0.3853,0.3255813953488372,C1CCC(C2CCC3C(C2)C2CC4CCCCC4C3C3CCCCC23)CC1,False,True,True,1
c1ccc(Oc2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,c1ccc(Oc2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,0.0013691,24.4916,18.2779,325.1696,0.2762,0.5517241379310345,C1CCC(CC2CCC(C3CCC(C(C4CCCCC4)C4CCCCC4)CC3)CC2)CC1,False,True,True,1
COc1cc(CCCCCCNC(=O)O)c2c(c1)Oc1ccc(-c3ccc(C=C4C(=O)NC(=S)NC4=O)cc3)cc1N2,COc1cc(CCCCCCNC(=O)O)c2c(c1)Oc1ccc(-c3ccc(C=C4C(=O)NC(=S)NC4=O)cc3)cc1N2,0.0,63.2663,52.1126,0.0,0.0,0.3292682926829268,CC1CC(C)C(CC2CCC(C3CCC4CC5CCCCC5CC4C3)CC2)C(C)C1,False,True,False,1
CCCC1(CC)C(=C(C#N)C#N)Oc2cc(N(C)C)c(-c3cccs3)cc21,CCCC1(CC)C(=C(C#N)C#N)Oc2cc(N(C)C)c(-c3cccs3)cc21,0.6248352,47.5217,39.2467,405.7125,0.6343,0.3333333333333333,CC1CC2CCC(C3CCCC3)CC2C1,False,True,True,1
COOc1ccc2c(Cl)c(C=CC(C)(C)O)sc2c1,COOc1ccc2c(Cl)c(C=CC(C)(C)O)sc2c1,0.0,41.3558,42.1861,0.0,0.0,0.2272727272727272,C1CCC2CCCC2C1,False,True,False,1
CN(CCO)c1ccc(C(=O)Nc2ccc(Br)cc2)cc1,CN(CCO)c1ccc(C(=O)Nc2ccc(Br)cc2)cc1,0.0013544,27.7246,20.4479,324.6586,0.8721,0.6078431372549019,CC(CC1CCCCC1)C1CCCCC1,False,True,True,1
CCN(CC)c1ccc2c(=O)c(C=CC(=O)O)coc2c1,CCN(CC)c1ccc2c(=O)c(C=CC(=O)O)coc2c1,0.0,30.7408,22.033,0.0,0.0,0.4181818181818181,CC1CCCC2CCCCC12,False,True,False,1
