SMILES,canon,score,sa,scscore,lambda_nm,exact_in_train,exact_in_chembl,exact_in_molecules_csv,max_tc_train,nearest_train,max_tc_chembl,nearest_chembl,max_tc_molecules_csv,nearest_molecules_csv,max_tc_any_ref,novelty_tier,pubchem_cid,exact_in_pubchem,novelty_tier_local
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(Oc3ccccc3)cc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(Oc3ccccc3)cc2)cc1,0.9494075,2.31,2.803605769474717,452.5441,False,False,False,0.7297297297297297,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.26,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,0.27906976744186046,N#Cc1ccc(C=Cc2ccccc2)cc1,0.7297297297297297,close_analog,,False,close_analog
COc1ccc(N(c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,COc1ccc(N(c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9211298,2.6763,2.812586785202784,464.9196,False,False,False,0.7560975609756098,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(C=C(C#N)C#N)cc3)cc2)cc1,0.29508196721311475,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,0.4166666666666667,COc1ccc(C=CC(=O)c2ccccc2)cc1,0.7560975609756098,close_analog,,False,close_analog
N#CC(C#N)=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,N#CC(C#N)=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.9445762,2.3578,2.820281763801722,458.9373,False,False,False,0.8181818181818182,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.2727272727272727,CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,0.4166666666666667,N#Cc1ccc(C=Cc2ccccc2)cc1,0.8181818181818182,exact_known_pubchem,129822853.0,True,close_analog
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccc(C=C(C#N)C#N)cc4)cc3)cc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccc(C=C(C#N)C#N)cc4)cc3)cc2)cc1,0.9198927,2.8175,2.820281763801722,456.8732,False,False,False,0.8181818181818182,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.2727272727272727,CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,0.4166666666666667,N#Cc1ccc(C=Cc2ccccc2)cc1,0.8181818181818182,close_analog,,False,close_analog
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)cc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)cc2)cc1,0.913411,2.7156,2.820281763801722,451.7632,False,False,False,0.8181818181818182,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.2727272727272727,CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,0.4166666666666667,N#Cc1ccc(C=Cc2ccccc2)cc1,0.8181818181818182,close_analog,,False,close_analog
Cc1ccc(N(c2ccc(C=Cc3ccc(C=C(C#N)C#N)cc3)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,Cc1ccc(N(c2ccc(C=Cc3ccc(C=C(C#N)C#N)cc3)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9260267,2.7631,2.8597423484186333,474.8359,False,False,False,0.8235294117647058,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(C=C(C#N)C#N)cc3)cc2)cc1,0.21311475409836064,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,0.3181818181818182,Cc1ccc(C=CC(=O)c2ccccc2)cc1,0.8235294117647058,close_analog,,False,close_analog
COc1ccc(NC(C=C(C#N)SCC(C)C#N)=C(C#N)C#N)cc1,COc1ccc(NC(C=C(C#N)SCC(C)C#N)=C(C#N)C#N)cc1,0.9620263,3.8711,2.7841271765897257,467.2365,False,False,False,0.2777777777777778,COc1ccc(-c2csc(/C(C#N)=C\Nc3ccc(C#N)cc3)n2)cc1,0.26229508196721313,CCOc1ccc(NC(=O)CC(C)O)cc1,0.23684210526315788,COc1ccc(NC(=O)c2cc3ccc4c5ccccc5[nH]c4c3cc2O)cc1,0.2777777777777778,highly_novel,,False,highly_novel
N#CC(C#N)=CC1=CC(c2ccccc2)Nc2ccccc2N1,N#CC(C#N)=CC1=CC(c2ccccc2)Nc2ccccc2N1,0.9626018,3.4132,2.711243165586695,477.3025,False,False,False,0.32,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.20754716981132076,CCN1C(=O)NC(c2ccccc2)C1=O,0.24444444444444444,N#CC(=C(c1ccccc1)c1ccccc1)c1ccccc1,0.32,highly_novel,,False,highly_novel
N#CC(C#N)=CC=Cc1ccc[nH]1,N#CC(C#N)=CC=Cc1ccc[nH]1,0.9621827,3.4285,2.3328916583836694,454.0344,False,False,False,0.34146341463414637,N#C/C(=C\C=C\c1ccccc1)c1ccccc1,0.14893617021276595,CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,0.23076923076923078,N#CC(=C(c1ccccc1)c1ccccc1)c1ccccc1,0.34146341463414637,highly_novel,,False,highly_novel
COc1ccc(-c2sc3ncc[n+](C)c3c2-c2ccc(OC)cc2)cc1,COc1ccc(-c2sc3ncc[n+](C)c3c2-c2ccc(OC)cc2)cc1,0.9623789,2.597,2.7622772755157268,452.8543,False,False,False,0.36,COc1ccc(-c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,0.2807017543859649,COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1,0.26,COc1ccc(C2=c3ccc([nH]3)=C(c3ccc(OC)cc3)c3ccc([nH]3)C(c3ccc(OC)cc3)=c3ccc([nH]3)=C(c3ccc(OC)cc3)c3ccc2[nH]3)cc1,0.36,highly_novel,,False,highly_novel
