SMILES,score,lambda_nm,qed,sa,scscore,rascore,clean,step,pass_baseline,pass_sa,pass_scscore,pass_synth
CCCC[n+]1ccc(C=Cc2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,0.9247824,468.1298,0.1348,2.5281,2.202122683359738,,True,8,True,True,True,True
N#CC(C#N)=CC=Cc1ccc[nH]1,0.9621827,454.0344,0.5432,3.4285,2.3328916583836694,,True,29,True,True,True,True
Cc1ccccc1N=Nc1ccc(C=Nc2ccc([N+](=O)[O-])cc2)cc1,0.9421016,452.3375,0.2435,2.4095,2.42381183051691,,True,29,True,True,True,True
N#CC(C#N)=Cc1ccc(C=C(C#N)c2ccccc2)o1,0.9758753,453.8625,0.795,2.7261,2.4349850414731526,,True,20,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccc(C=C(C#N)C#N)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,0.9222793,453.9407,0.1219,2.7987,2.534380407783124,,True,24,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.9309357,468.9059,0.1739,2.636,2.534380407783124,,True,26,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9594098,469.9756,0.4904,2.6572,2.534380407783124,,True,21,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,0.9681988,452.4452,0.5887,2.2177,2.534380407783124,,True,17,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.9403553,454.63,0.2144,2.2807,2.534380407783124,,True,31,True,True,True,True
CCN(CC)c1ccc(N=Nc2ccc(C(C#N)c3ccccc3)cc2)cc1,0.9605897,460.6678,0.4409,2.9065,2.5352480901006427,,True,5,True,True,True,True
Cc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9554274,471.9663,0.4571,2.6978,2.568585923368783,,True,13,True,True,True,True
CCN(CC)c1ccc(N=Cc2ccc([N+](=O)[O-])c(N)c2)cc1,0.9513666,471.6791,0.3806,2.4627,2.7049702605585813,,True,24,True,True,True,True
N#CC(C#N)=CC1=CC(c2ccccc2)Nc2ccccc2N1,0.9626018,477.3025,0.8179,3.4132,2.711243165586695,,True,25,True,True,True,True
COc1ccc(-c2sc3ncc[n+](C)c3c2-c2ccc(OC)cc2)cc1,0.9623789,452.8543,0.5019,2.597,2.7622772755157268,,True,2,True,True,True,True
CCN(CC)c1ccc(N=Nc2ccc3nccnc3c2)cc1,0.967415,469.9628,0.6304,2.4668,2.7718000341802704,,True,26,True,True,True,True
O=[N+]([O-])c1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Cl)c1,0.9334396,451.1853,0.1787,2.1852,2.7745376638456904,,True,18,True,True,True,True
COc1ccc(NC(C=C(C#N)SCC(C)C#N)=C(C#N)C#N)cc1,0.9620263,467.2365,0.5888,3.8711,2.7841271765897257,,True,11,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(Oc3ccccc3)cc2)cc1,0.9494075,452.5441,0.3094,2.31,2.803605769474717,,True,25,True,True,True,True
COc1ccc(N(c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9211298,464.9196,0.1126,2.6763,2.812586785202784,,True,16,True,True,True,True
N#CC(C#N)=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.9445762,458.9373,0.2352,2.3578,2.820281763801722,,True,11,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccc(C=C(C#N)C#N)cc4)cc3)cc2)cc1,0.9198927,456.8732,0.1065,2.8175,2.820281763801722,,True,31,True,True,True,True
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)cc2)cc1,0.913411,451.7632,0.0917,2.7156,2.820281763801722,,True,26,True,True,True,True
CCc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9519923,472.3734,0.4154,2.7733,2.859447899016025,,True,19,True,True,True,True
Cc1ccc(N(c2ccc(C=Cc3ccc(C=C(C#N)C#N)cc3)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9260267,474.8359,0.1822,2.7631,2.8597423484186333,,True,26,True,True,True,True
CCCCN(CCCC)c1ccc(N=Nc2ccc(N(c3ccc(C#N)cc3)c3ccc(C#N)cc3)cc2)cc1,0.9328285,464.9283,0.1721,2.7016,2.946324349251447,,True,20,True,True,True,True
