SMILES,score,lambda_nm,qed,sa,scscore,rascore,clean,step,pass_baseline,pass_sa,pass_scscore,pass_synth
COc1cc(=O)c2ccc3cccc4ccc(c1)c2c43,0.9680443,458.1457,0.5177,2.0622,2.559914319515447,,True,9,True,True,True,True
COc1ccc(C(C=Cc2ccc3c(c2)OCO3)=C(C#N)C#N)cc1OC,0.9677983,453.9991,0.5929,2.6248,2.6411500032323945,,True,10,True,True,True,True
CN(C)c1ccc(C=C2C(=O)c3ccccc3C2=Cc2ccccc2C#N)cc1,0.9619138,472.7317,0.5714,2.4757,2.9842198515940357,,True,14,True,True,True,True
CN(C)c1ccc(N=Nc2ccc(NC(=O)C=Cc3cc([N+](=O)[O-])ccc3O)cc2)cc1,0.9402782,454.296,0.2235,2.5633,2.817848631198588,,True,20,True,True,True,True
CNc1ccc(C=CC(=O)C(=[N+]=[N-])[N+](=O)[O-])c(F)c1,0.9239402,472.9174,0.1683,3.3231,2.7833104336542407,,True,30,True,True,True,True
COc1c(N)ccc2ccc(N=Nc3ccc(N=Nc4ccc(N=Nc5ccc(N)cc5)cc4)cc3)cc12,0.9316133,464.7925,0.1701,2.9581,2.6325595156934765,,True,31,True,True,True,True
CN(C)c1ccc(C=Cc2cc([N+](=O)[O-])ccc2[N+](=O)[O-])cc1,0.9648587,462.1983,0.4763,2.2255,2.39273238010295,,True,31,True,True,True,True
COc1ccc(N=Nc2ccc(N=Cc3ccc(N=Nc4ccc(N=Nc5ccc(N=Nc6ccc([N+](=O)[O-])cc6)cc5)cc4)cc3)cc2)cc1,0.8889194,477.0649,0.0547,3.1357,2.148509480376858,,True,32,True,True,True,True
C(=Nc1ccc(N2CCOCC2)cc1)c1ccc(N=Nc2ccc(N=Nc3ccc(N=Nc4ccc(N=Nc5ccccc5)cc4)cc3)cc2)cc1,0.911178,471.9248,0.0996,3.1376,2.601693637658692,,True,33,True,True,True,True
CN(C)c1ccc(N=Nc2ccc(N=Nc3ccc(N4CCCCC4)cc3)cc2)cc1,0.9502227,473.3979,0.3919,2.5136,2.853902011967421,,True,34,True,True,True,True
O=[N+]([O-])c1ccc(N=Nc2ccc(N=Nc3ccc(O)c(C=Cc4ccc([N+](=O)[O-])o4)c3)cc2)cc1,0.9131984,479.1982,0.1518,3.0841,2.912299126387495,,True,34,True,True,True,True
COc1ccc(N=Nc2ccc(N(c3ccccc3)c3ccccc3)cc2)c([N+](=O)[O-])c1,0.9361414,458.9007,0.1748,2.3729,2.4331712516371944,,True,35,True,True,True,True
N#Cc1cc(C=Nc2ccc(N=Nc3ccc(N=Nc4ccccc4)cc3)cc2)ccc1N=Nc1ccccc1,0.9284292,462.91,0.1476,2.9835,2.593723653946789,,True,36,True,True,True,True
CN(C)c1ccc(N=Nc2cccc3ccc(N)cc23)cc1,0.9683526,457.0507,0.5505,2.3252,2.7151351518136106,,True,36,True,True,True,True
N#Cc1ccc(-c2ccc(C=Cc3ccc(N=Nc4ccc(N=Nc5ccccc5)cc4)cc3)cc2)cc1,0.9344639,459.5979,0.1655,2.4734,2.597608778299105,,True,37,True,True,True,True
O=[N+]([O-])c1ccc(N=Nc2ccc(N=Nc3cccc(C=Cc4ccc(N=Nc5ccc(N=Nc6ccccc6)cc5)cc4)c3)cc2)cc1,0.8961284,473.531,0.06,3.0535,2.4630554373675846,,True,37,True,True,True,True
O=[N+]([O-])c1ccc(N=Nc2ccc(C=Nc3ccc(N=Nc4ccc(N=Nc5ccccc5)cc4)cc3)cc2)cc1,0.9103695,466.3109,0.0799,2.843,1.8621913137848636,,True,38,True,True,True,True
Oc1ccc(C=Cc2ccc(N=Nc3ccc(N=Nc4ccccc4)cc3)cc2)cc1N=Nc1ccccc1,0.9279494,450.0004,0.1637,2.7576,2.3306210896834028,,True,38,True,True,True,True
O=C(Nc1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1)c1cccc2ccccc12,0.9464658,461.8101,0.2548,2.3872,2.728916641814296,,True,38,True,True,True,True
O=[N+](c1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1)c1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1,0.9128096,474.8427,0.1127,2.7551,2.103169858490083,,True,38,True,True,True,True
O=C(Nc1ccc(Br)cc1)c1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1,0.94747,464.3425,0.2736,2.3626,2.434813249041734,,True,38,True,True,True,True
COc1ccc(-c2ccc(N=Nc3ccc(N=Nc4ccc([N+](=O)[O-])cc4)cc3)cc2)cc1,0.9204166,477.8509,0.1657,2.4043,2.175875904492559,,True,38,True,True,True,True
Nc1ccc2c([N+](=O)[O-])c(N)cc([N+](=O)[O-])c2c1,0.945744,479.5681,0.4717,2.6453,2.44522595315731,,True,38,True,True,True,True
