SMILES,lambda_abs (raw),Score,step,dim1,dim2
CCCCOc1ccc(CC(C#N)=Cc2ccc(C=C(C#N)C#N)c3c2OCCO3)c(OCCCC)c1,427.8066,0.881808,1,4.9016175,8.411038
COc1ccc(-c2csc(-c3cc[n+](CC(=O)c4ccc(N(C)C)cc4)cc3)n2)cc1,433.515,0.9167769,1,-1.6557112,6.6880474
N#CC(C#N)=Cc1sc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)cc1F,470.6686,0.935894,1,9.142372,9.646724
N#CC(=Cc1ccc(-c2ccc(-c3ccc4ccc(=O)oc4c3)cc2)o1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,449.5136,0.9228909,1,6.788817,12.683836
CN(C)c1ccc2cc3ccccc3c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c2c1,428.6246,0.888889,1,-0.49920186,6.490103
COc1ccc2cc(C(=O)Nc3ccc(Cl)cc3)c(=O)oc2c1,359.0781,0.0268247,1,-1.5318005,7.2813563
CCCCn1c(-c2ccc3cc(C=C(C#N)C#N)ccc3c2)nc(C=Cc2ccc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2)c1C#N,438.1617,0.9021746,1,5.6244974,9.482838
CCCCOc1cc2ccccc2cc1C=Cc1ccc2c3ccccc3n(CCCC)c2c1,373.58,0.0858098,1,-0.20125617,7.61366
CCCCNc1nc(N)c2cn(S(=O)(=O)c3ccccc3)c(F)c2n1,367.7224,0.0552836,1,-0.7402742,8.41504
CCC1=c2c(CC)c3ccc(=[N+](CC)CC)cc-3oc2=C1,551.6736,0.0582379,1,-0.41619655,9.08537
C[n+]1cc(-c2ccc(Br)cc2)c2cc(-c3ccccc3)c(-c3ccc(C(C)(C)C)cc3)nn21,368.1005,0.0553643,1,-1.8642224,7.903247
