smiles,label,source,umap1,umap2,score
COC(=O)NC(C(=O)N1CCCC1c1ncc(-c2ccc3c(C#N)c4cc(-c5cnc(C6CCCN6C(=O)C(NC(=O)OC)C(C)C)[nH]5)ccc4nc3c2)[nH]1)C(C)C,acridine,molecules,10.30722,9.382819,
Nc1ccc2cc3ccc(N)cc3[nH+]c2c1,acridine,molecules,11.700543,7.6053543,
Cc1cccc2c(NCCCN(C)C)c3c([N+](=O)[O-])ccc(C)c3nc12,acridine,molecules,13.199023,7.1206813,
S=C=Nc1c2ccccc2nc2ccccc12,acridine,molecules,11.514754,6.513019,
C[n+]1cccc(NC(=O)c2ccc(NC(=O)c3ccc(Nc4c5ccccc5[n+](C)c5ccc(N)cc45)cc3)cc2)c1,acridine,molecules,9.609376,7.62481,
CCN(CC)CCCC(C)Nc1cc(Cl)cc2nc3ccc(OC)cc3cc12,acridine,molecules,7.212425,7.6187334,
O=C(CCN1CCOCC1)Nc1ccc2cc3ccc(NC(=O)CCN4CCOCC4)cc3nc2c1,acridine,molecules,10.868202,9.461256,
NCC1OC(OC2C(CSCCNc3c4ccccc4nc4ccccc34)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,acridine,molecules,10.123034,7.989165,
Cc1cc2c(C)c3cc(C)c(N)cc3nc2cc1N,acridine,molecules,11.769986,7.540445,
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2cc([N+](=O)[O-])ccc12,acridine,molecules,13.34662,7.073901,
CN(C)CCc1c2ncsc2c2c3c(c4ccccc4nc13)C=CN2C,acridine,molecules,11.143118,6.797357,
CCOc1ccc2nc3cc(N=Nc4ccc(N)nc4N)ccc3c(N)c2c1,acridine,molecules,10.903213,12.91583,
CN(CCCNC(=O)c1cc(Cl)cc2cc3ccccc3nc12)CCCNC(=O)c1cc(Cl)cc2cc3ccccc3nc12,acridine,molecules,10.361803,7.7234597,
CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,acridine,molecules,9.065756,5.0865035,
C[n+]1c2ccccc2cc2ccccc21,acridine,molecules,11.572782,6.5119705,
OCc1cc(Nc2c3ccccc3nc3ccccc23)cc(OCCN(CCCl)CCCl)c1,acridine,molecules,10.745345,7.2492905,
O=C1c2ccccc2C(=O)N1CCCCCCNc1c2ccccc2nc2ccccc12,acridine,molecules,9.993329,5.9634123,
Cc1ccc2c(NNC(=O)c3ccccc3O)c3ccccc3nc2c1C,acridine,molecules,10.105989,7.818464,
Cc1ccc2nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3cc2c1,acridine,molecules,13.354202,7.070358,
Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1,acridine,molecules,11.672161,6.5526576,
