method,score_bin,bin_mid,n,mean_score,mean_nn_dist_to_chromophore,median_nn_dist_to_chromophore,mean_nn_dist_to_chembl,median_nn_dist_to_chembl,mean_dist_to_chromophore_centroid,mean_dist_to_chembl_centroid,bin_centroid_dist_to_chromophore_centroid,bin_centroid_dist_to_chembl_centroid,centroid_dim1,centroid_dim2
pca,"[0.0,0.2)",0.1,726,0.024907746143250687,0.0481812187701157,0.031709177713314954,0.6389564713147138,0.17632512691803695,1.4773576674932063,1.9947885907144933,0.3966840585964812,1.6683331198779028,0.12222303744744763,-0.37146865120211137
pca,"[0.2,0.4)",0.30000000000000004,90,0.3052810066666667,0.08029101657911798,0.05029153364946217,1.270607804958722,1.1474136191865458,1.757973499928982,2.831953073935578,1.1666655670049266,2.6254068052453454,0.9758016562215178,-0.8208900467888638
pca,"[0.4,0.6)",0.5,101,0.4941932376237624,0.07455548510143682,0.05221266832108417,1.306180491748195,1.3293675206188926,1.7485969497349338,2.882698989027669,1.2212041979671073,2.7001729276064235,1.090927057443064,-0.779147746071955
pca,"[0.6,0.8)",0.7,148,0.7134101405405404,0.1191850576453872,0.07077265874343036,1.7491854953859445,1.6336058598330507,2.099627584654748,3.3380491845034492,1.677195527196389,3.174694848811155,1.5633678379291602,-0.91052992874502
pca,"[0.8,1.0]",0.9,727,0.9015767360385145,0.14769934763530998,0.0802403353402042,1.9602635075647532,2.0895330241804286,2.268855579882232,3.529062283607459,1.9221355895564025,3.413031718477898,1.7282250253669917,-1.1024352554291774
umap,"[0.0,0.2)",0.1,726,0.024907746143250687,0.07571142653337794,0.051447694707739675,1.2830402534888068,0.47155331603279727,3.5657684748349086,5.206513525539414,1.0759104817840006,4.555815503257369,7.862556393650138,6.374723204683188
umap,"[0.2,0.4)",0.30000000000000004,90,0.3052810066666667,0.09253262545968646,0.06333373425558798,1.8551809005954067,1.9818071238611856,2.7397798927356436,6.570252629193485,0.9362546035515273,6.232810028481613,8.461878148888895,4.749064675777778
umap,"[0.4,0.6)",0.5,101,0.4941932376237624,0.10195716251961343,0.07529145612777105,2.0274725866074603,2.0240815404651196,2.759861645190706,6.906046651887408,1.3077205844280717,6.61367183928746,8.693032397029702,4.444913688217823
umap,"[0.6,0.8)",0.7,148,0.7134101405405404,0.12238545536748205,0.07659274390354774,2.491818836265309,2.6643447915030336,3.2304794718514525,7.641970979761454,2.0627310934011986,7.399629018527499,9.052942149121623,3.7421706814864875
umap,"[0.8,1.0]",0.9,727,0.9015767360385145,0.16593111071721617,0.11004356507874492,2.7875239703717702,3.108235791727239,3.5648502298412197,8.039849872638499,2.4504271700352365,7.811859244753883,9.067343839986238,3.2680563351719405
tsne,"[0.0,0.2)",0.1,726,0.024907746143250687,1.2753095050296075,0.8654811994573245,12.565272399810436,6.040772643319789,38.383830540731715,61.56708778429516,6.8667554702384175,52.41561311502025,10.16751911365014,-9.923051246804414
tsne,"[0.2,0.4)",0.30000000000000004,90,0.3052810066666667,1.3873330217407727,1.2162907592204946,21.808836798722176,19.056331783481703,41.56363031478459,79.06540633747974,29.35344792231284,74.83910143779705,29.822637557777767,-21.207726964666655
tsne,"[0.4,0.6)",0.5,101,0.4941932376237624,1.5957014334216197,1.1015677701331674,24.59470986363781,19.338578578597264,43.56240792079376,82.36233529768609,32.35238646074144,77.74566811236984,32.98612295049504,-21.811651171287128
tsne,"[0.6,0.8)",0.7,148,0.7134101405405404,2.0663600563797586,1.472692229796329,31.090482847679226,30.296959080924502,47.302961209912056,87.04757734028954,39.37525041625158,84.06240135455626,41.67598632682433,-20.140164998175667
tsne,"[0.8,1.0]",0.9,727,0.9015767360385145,2.7931237115152796,2.248099249537032,35.16869912152017,41.221069493262505,51.12813766180841,91.04160966846199,43.158034053503876,87.95412340493648,44.7487831911004,-22.57304860863272
