smiles,set,dim1,dim2
O=S(=O)(O)CCS,chembl,-19.207058,24.095139
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,chembl,-44.84633,1.3600402
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,chembl,-37.18046,45.74351
Cc1ccc(-c2ccc(C)cn2)nc1,chembl,-19.003223,-10.950779
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,chembl,-27.070086,-3.0356357
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,chembl,-21.494534,60.649685
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,chembl,-21.513933,60.641663
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,chembl,-50.059,23.201296
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,chembl,-50.36749,20.04657
CC(=O)NCCCS(=O)(=O)O,chembl,-20.39588,24.814596
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,chembl,-29.921682,47.086815
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,chembl,-28.234259,18.906717
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,chembl,-15.458882,32.225483
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,chembl,-44.893116,-22.712168
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,chembl,-0.0813513,19.805857
CC(=O)Nc1ccc(O)cc1,chembl,-22.972376,22.642193
CC(=O)Nc1ccccc1,chembl,-31.219429,10.18911
CC(=O)Nc1nnc(S(N)(=O)=O)s1,chembl,-21.134583,22.618408
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,chembl,-38.01904,36.318188
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,chembl,8.686109,34.180668
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,chembl,-23.884735,23.531809
CC(=O)N[C@@H](CS)C(=O)O,chembl,-24.285204,26.039528
