smiles,set,dim1,dim2
O=S(=O)(O)CCS,chembl,5.0792675,9.149672
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,chembl,5.7650146,9.552024
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,chembl,3.2114058,9.346292
Cc1ccc(-c2ccc(C)cn2)nc1,chembl,6.5199924,8.497466
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,chembl,5.66663,8.376387
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,chembl,2.3877583,11.582855
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,chembl,2.3097844,11.629874
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,chembl,5.3702016,8.930291
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,chembl,5.146633,10.733663
CC(=O)NCCCS(=O)(=O)O,chembl,4.975607,9.444745
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,chembl,3.4526052,9.346691
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,chembl,5.480329,10.22044
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,chembl,4.570457,9.211964
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,chembl,6.931475,11.429874
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,chembl,4.3586407,7.5012636
CC(=O)Nc1ccc(O)cc1,chembl,5.286883,9.578366
CC(=O)Nc1ccccc1,chembl,6.4906025,10.041734
CC(=O)Nc1nnc(S(N)(=O)=O)s1,chembl,5.126676,9.252271
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,chembl,5.083107,9.382162
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,chembl,7.6653466,6.9873514
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,chembl,5.174064,9.574546
CC(=O)N[C@@H](CS)C(=O)O,chembl,4.5333605,9.80923
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,chembl,2.8666358,10.905061
Cc1cnc(C(=O)O)c[n+]1[O-],chembl,5.1307445,9.2547035
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,chembl,6.7294574,11.253644
Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,chembl,5.5901556,10.225447
Nc1c2ccccc2nc2ccccc12,chembl,8.536992,9.183518
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,chembl,5.067677,10.061626
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,chembl,3.6786132,9.281351
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,chembl,5.088388,10.587735
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,chembl,6.824478,11.236091
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,chembl,4.1335483,9.191883
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,chembl,3.113494,9.317296
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,chembl,3.0856862,9.321195
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,chembl,5.81157,11.135772
COc1ccc2cccc(CCNC(C)=O)c2c1,chembl,7.4443536,11.517124
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,chembl,4.342393,10.993666
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,chembl,6.210101,10.532851
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,chembl,5.587666,9.536654
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,chembl,6.878829,8.395657
C=CCOc1ccc(CC(=O)O)cc1Cl,chembl,5.6682677,9.985134
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,chembl,1.4813147,12.467115
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,chembl,6.414458,8.240896
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,chembl,5.039305,9.040543
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,chembl,2.6590865,10.739632
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,chembl,5.8384986,11.082284
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,chembl,5.759862,11.812368
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,chembl,5.981532,10.81382
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,chembl,4.1191406,9.610064
Oc1ncnc2[nH]ncc12,chembl,5.885385,8.708803
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,chembl,5.697359,8.254414
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,chembl,5.0261445,8.60796
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,chembl,6.6538215,8.403802
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,chembl,6.8161244,8.9806595
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,chembl,4.809895,10.736969
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,chembl,6.2606955,9.632253
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,chembl,6.791723,9.256326
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,chembl,3.8887522,10.008566
CN(C)c1nc(N(C)C)nc(N(C)C)n1,chembl,6.02203,7.9197392
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,chembl,5.239358,11.305427
NC12CC3CC(CC(C3)C1)C2,chembl,4.358777,8.88331
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,chembl,6.692153,10.53631
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,chembl,1.4482744,12.49946
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,chembl,3.9233134,10.280468
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,chembl,3.937097,10.318579
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,chembl,5.0624075,10.7264805
NCCCNCCSP(=O)(O)O,chembl,5.04432,9.152659
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,chembl,3.4610121,9.445417
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,chembl,5.265849,9.227559
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,chembl,6.0760255,10.4756
NCCCCCC(=O)O,chembl,4.4012756,9.762368
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,chembl,4.629792,8.518754
Nc1ccc(C(=O)NCC(=O)O)cc1,chembl,5.360634,9.730433
NCC(=O)CCC(=O)O,chembl,4.4509664,9.706167
Cn1c(=O)c2[nH]cnc2n(C)c1=O,chembl,4.7729797,8.905075
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,chembl,6.8306875,8.475056
NC1=NCC(c2ccccc2)O1,chembl,7.3832088,8.737157
Nc1ccc(C(=O)O)c(O)c1,chembl,5.392625,9.578442
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,chembl,7.365554,10.155935
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,chembl,5.7501554,11.855842
CN(C)CCC=C1c2ccccc2CCc2ccccc21,chembl,7.0995355,8.46253
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,chembl,7.4837527,9.964486
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,chembl,5.9474826,10.473438
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,chembl,4.283138,8.5369215
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,chembl,6.1530356,9.349353
COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,chembl,5.799047,11.915361
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,chembl,5.538701,9.503175
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,chembl,6.566038,9.150001
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,chembl,-0.062825955,11.222238
CC(N)Cc1ccccc1,chembl,6.9162054,9.8132515
O=C(O)CCCCC(=O)O,chembl,4.411388,9.700678
NC(CC(=O)O)C(=O)O,chembl,4.486353,9.764874
C[C@H](N)Cc1ccccc1,chembl,6.9059906,9.84533
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,chembl,3.3680942,10.375001
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,-0.039391875,11.186891
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,chembl,5.609401,11.095747
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,chembl,7.7478285,10.600911
CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,chembl,2.3004744,11.652486
Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)cn2n1,chembl,4.8298945,10.660236
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,chembl,6.10606,8.906662
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,chembl,5.7829075,8.726257
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,chembl,5.7157745,11.076786
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,chembl,7.6309047,11.536433
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,chembl,7.1269727,9.415793
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,chembl,5.299898,10.955039
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,chembl,4.7351584,10.623815
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,chembl,6.8526034,11.713371
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,chembl,4.7049513,11.727884
