smiles,set,dim1,dim2
O=S(=O)(O)CCS,chembl,-26.992573,32.155037
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,chembl,-31.32078,15.2385
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,chembl,-72.42063,16.745665
Cc1ccc(-c2ccc(C)cn2)nc1,chembl,-0.7946821,-15.311062
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,chembl,-57.433723,-14.126499
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,chembl,-68.57631,33.065243
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,chembl,-68.56337,33.063225
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,chembl,-62.48761,7.432218
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,chembl,-51.25107,5.580452
CC(=O)NCCCS(=O)(=O)O,chembl,-27.393358,31.162752
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,chembl,-67.0787,23.129555
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,chembl,-18.16101,27.401405
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,chembl,-38.007183,22.17489
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,chembl,-29.173634,-54.12889
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,chembl,-0.15770975,58.73406
CC(=O)Nc1ccc(O)cc1,chembl,-22.685001,18.77969
CC(=O)Nc1ccccc1,chembl,-19.589321,10.792543
CC(=O)Nc1nnc(S(N)(=O)=O)s1,chembl,-26.656372,22.377932
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,chembl,-54.783566,13.503293
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,chembl,23.468435,-12.873068
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,chembl,-22.146402,22.205729
CC(=O)N[C@@H](CS)C(=O)O,chembl,-33.260517,28.435171
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,chembl,-63.399975,32.138866
Cc1cnc(C(=O)O)c[n+]1[O-],chembl,-27.92454,20.584608
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,chembl,-8.40625,28.396984
Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,chembl,-21.958559,25.715708
Nc1c2ccccc2nc2ccccc12,chembl,8.648735,-32.942917
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,chembl,-42.285065,-16.72449
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,chembl,-74.86082,14.639241
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,chembl,-49.04871,1.068502
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,chembl,-21.96723,-1.7661014
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,chembl,-76.32373,14.166755
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,chembl,-74.13433,17.391624
