smiles,set,dim1,dim2
O=S(=O)(O)CCS,chembl,12.496508,7.3203506
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,chembl,11.273107,6.8556046
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,chembl,12.891156,8.445509
Cc1ccc(-c2ccc(C)cn2)nc1,chembl,12.542198,5.204814
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,chembl,12.65068,6.871018
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,chembl,13.126854,10.056554
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,chembl,13.117785,10.117608
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,chembl,12.7404,7.3744535
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,chembl,10.783551,8.080376
CC(=O)NCCCS(=O)(=O)O,chembl,12.241355,7.5293493
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,chembl,13.174055,8.585789
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,chembl,10.723659,6.883968
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,chembl,12.2318535,7.4135127
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,chembl,9.338112,5.681317
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,chembl,6.862839,3.1638403
CC(=O)Nc1ccc(O)cc1,chembl,11.205609,6.9607577
CC(=O)Nc1ccccc1,chembl,10.86217,6.0115886
CC(=O)Nc1nnc(S(N)(=O)=O)s1,chembl,11.997328,7.261304
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,chembl,11.513318,8.45278
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,chembl,14.2529955,3.5789104
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,chembl,11.517763,7.162036
CC(=O)N[C@@H](CS)C(=O)O,chembl,12.232697,8.11777
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,chembl,12.8834305,9.803228
Cc1cnc(C(=O)O)c[n+]1[O-],chembl,11.938147,7.25369
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,chembl,9.458841,5.8604603
Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,chembl,11.205927,6.882532
Nc1c2ccccc2nc2ccccc12,chembl,12.413937,4.2906146
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,chembl,11.397653,6.81695
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,chembl,12.762721,8.319772
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,chembl,10.9293165,8.028421
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,chembl,9.6242485,5.959494
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,chembl,12.627102,8.2481165
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,chembl,13.005316,8.830414
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,chembl,12.987326,8.878731
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,chembl,10.180739,6.9834447
COc1ccc2cccc(CCNC(C)=O)c2c1,chembl,9.204362,5.260601
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,chembl,11.274811,8.651349
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,chembl,10.203236,6.12226
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,chembl,11.751778,6.3842273
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,chembl,13.115978,5.7454896
C=CCOc1ccc(CC(=O)O)cc1Cl,chembl,10.976442,6.590332
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,chembl,13.494435,11.251816
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,chembl,12.610013,7.327375
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,chembl,12.853416,7.5079675
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,chembl,13.505778,8.999615
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,chembl,10.302353,6.855214
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,chembl,9.259876,6.7204227
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,chembl,9.914005,6.3329816
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,chembl,13.0039835,8.679716
Oc1ncnc2[nH]ncc12,chembl,12.94638,6.189499
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,chembl,12.868411,6.8822703
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,chembl,12.373485,7.1610675
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,chembl,12.354248,5.869325
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,chembl,12.279365,5.57914
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,chembl,11.170665,8.365377
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,chembl,11.194742,6.327606
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,chembl,13.591615,5.603041
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,chembl,13.80337,8.561068
CN(C)c1nc(N(C)C)nc(N(C)C)n1,chembl,11.082548,3.899069
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,chembl,9.994253,7.6814137
NC12CC3CC(CC(C3)C1)C2,chembl,13.325983,8.014306
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,chembl,10.545316,5.541796
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,chembl,13.449522,11.236686
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,chembl,12.166996,8.915613
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,chembl,12.208449,8.874693
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,chembl,10.794341,7.66627
NCCCNCCSP(=O)(O)O,chembl,12.577153,7.64597
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,chembl,12.978835,8.75717
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,chembl,11.826845,7.3926787
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,chembl,10.507679,6.876483
NCCCCCC(=O)O,chembl,12.429929,8.016833
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,chembl,13.2398405,7.2715774
Nc1ccc(C(=O)NCC(=O)O)cc1,chembl,11.274919,6.594618
NCC(=O)CCC(=O)O,chembl,12.402387,8.090462
Cn1c(=O)c2[nH]cnc2n(C)c1=O,chembl,12.7550955,7.0604115
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,chembl,11.721775,4.914797
NC1=NCC(c2ccccc2)O1,chembl,12.744307,5.3141527
Nc1ccc(C(=O)O)c(O)c1,chembl,11.558646,6.43515
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,chembl,10.879995,4.864189
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,chembl,9.255835,6.900319
CN(C)CCC=C1c2ccccc2CCc2ccccc21,chembl,12.57595,4.8859544
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,chembl,11.562317,6.1116004
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,chembl,10.394947,6.7965484
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,chembl,13.556444,7.682622
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,chembl,12.210987,6.203059
COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,chembl,9.146551,6.5568924
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,chembl,13.178299,7.878136
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,chembl,13.57713,5.815123
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,chembl,9.082571,8.533849
CC(N)Cc1ccccc1,chembl,11.394536,5.461271
O=C(O)CCCCC(=O)O,chembl,12.371293,8.081804
NC(CC(=O)O)C(=O)O,chembl,12.262197,8.12484
C[C@H](N)Cc1ccccc1,chembl,11.420408,5.4652214
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,chembl,12.620551,9.166949
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,9.105338,8.467055
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,chembl,10.120222,7.834036
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,chembl,9.67634,5.351605
