scaffold_id,scaffold_name,scaffold_class,n,frac,n_highscore,frac_highscore,mean_score,mean_max_tc,mean_nearest_tc
stilbene,Stilbene,chromophore,335,0.18694196428571427,192,0.2640990371389271,0.6505456367164179,0.22506626443270655,0.2971646522580226
chalcone,Chalcone,natural_product,139,0.07756696428571429,49,0.06740027510316368,0.42750536906474823,0.20057013766324708,0.32879138519168755
benzothiazole,Benzothiazole,heterocycle,133,0.07421875,68,0.09353507565337002,0.6194923511278194,0.20202504023263915,0.25366319866564657
acridine,Acridine,chromophore,131,0.07310267857142858,44,0.06052269601100413,0.40792311526717545,0.20440733411340745,0.2972932976211943
coumarin,Coumarin,chromophore,98,0.0546875,31,0.04264099037138927,0.4046724204081632,0.1940714316133456,0.3118561445822638
rhodamine,Rhodamine / rosamine,chromophore,96,0.05357142857142857,31,0.04264099037138927,0.41599781979166667,0.19382052195253122,0.25295700160161094
azo_dye,Azoarene,chromophore,93,0.05189732142857143,54,0.07427785419532325,0.5772659903225805,0.19618315744575715,0.319489072361523
phenothiazine,Phenothiazine,chromophore,88,0.049107142857142856,32,0.04401650618982118,0.45652865909090906,0.18394701595861282,0.32284637296022795
cyanine,Indolenine / cyanine-like,chromophore,84,0.046875,46,0.06327372764786796,0.5932224630952381,0.20100841394546937,0.2792855423036607
naphthalimide,"1,8-Naphthalimide",chromophore,70,0.0390625,18,0.024759284731774415,0.3315255385714286,0.18756974231396212,0.25985504353165306
benzimidazole,Benzimidazole,heterocycle,67,0.037388392857142856,34,0.04676753782668501,0.566336776119403,0.19084513484105753,0.2762172008562165
naphthalene,Naphthalene,scaffold,59,0.032924107142857144,23,0.03163686382393398,0.4397991305084746,0.19325542363775713,0.28877199192325603
biphenyl,Biphenyl,scaffold,47,0.026227678571428572,17,0.023383768913342505,0.3916213340425532,0.1901339975647232,0.2540237406554943
flavonoid,Flavone / flavonoid,natural_product,47,0.026227678571428572,16,0.02200825309491059,0.38747032553191496,0.17146312548126433,0.32288338934637234
isoquinoline,Isoquinoline,heterocycle,32,0.017857142857142856,7,0.009628610729023384,0.39647066249999996,0.18249529688434704,0.32031702567130604
quinoline,Quinoline,heterocycle,29,0.016183035714285716,9,0.012379642365887207,0.3727896413793103,0.185736003619203,0.2873774394703862
fluorescein,Xanthene (fluorescein-like),chromophore,29,0.016183035714285716,7,0.009628610729023384,0.29152845517241377,0.17743088247826252,0.27354925668697694
phthalimide,Phthalimide,scaffold,29,0.016183035714285716,8,0.011004126547455296,0.28577819310344826,0.18003375997517773,0.2556253502752269
porphyrin,Porphyrin,chromophore,28,0.015625,5,0.0068775790921595595,0.3874891821428572,0.17218496172334155,0.276387953498025
carbazole,Carbazole,chromophore,26,0.014508928571428572,6,0.008253094910591471,0.32313382692307696,0.17396419096952562,0.28234850920205984
benzofuran,Benzofuran,heterocycle,24,0.013392857142857142,5,0.0068775790921595595,0.24494872083333333,0.17389353006325595,0.2578009939353879
anthraquinone,Anthraquinone,chromophore,24,0.013392857142857142,4,0.005502063273727648,0.3067580458333333,0.17095981574564117,0.2833916145957195
pyrimidine,Pyrimidine,heterocycle,19,0.010602678571428572,5,0.0068775790921595595,0.24779517894736838,0.17837148278941606,0.27377849302381874
bodipy,BODIPY,chromophore,18,0.010044642857142858,8,0.011004126547455296,0.5220567111111111,0.1629991091634282,0.22474341060802225
beta_lactam,β-Lactam,drug_class,17,0.009486607142857142,2,0.002751031636863824,0.15104686470588233,0.1606010666967163,0.26010718463072696
sulfonamide,Aromatic sulfonamide,drug_class,16,0.008928571428571428,4,0.005502063273727648,0.26123595624999996,0.17719161692371196,0.28738397275234184
indole,Indole,heterocycle,9,0.005022321428571429,2,0.002751031636863824,0.3017457888888889,0.1710338447961893,0.2617344891126168
purine,Purine,heterocycle,4,0.002232142857142857,0,0.0,0.0036245500000000003,0.1591596706532383,0.2712280535556398
steroid,Steroid (gonane),drug_class,1,0.0005580357142857143,0,0.0,2.74e-05,0.1086079007380201,0.1864406779661017
