SMILES,Score,lambda_abs (raw),QED (raw),SA score (raw),step,Scaffold
Cn1ccc(C=Cc2ccc(C=C(C#N)C#N)s2)cc1=O,0.9776513,460.9145,0.8166,3.1046,19,O=c1cc(C=Cc2cccs2)cc[nH]1
CCN(CC)c1ccc2sc(=NC#N)ccc2c1,0.9764969,462.3032,0.7924,3.035,9,N=c1ccc2ccccc2s1
N#CC(C#N)=Cc1ccc(C=C(C#N)c2ccccc2)o1,0.9758753,453.8625,0.795,2.7261,20,C(=Cc1ccco1)c1ccccc1
N#CC(C#N)=Cc1cnc(C(C#N)=Cc2cccs2)s1,0.9739939,454.6113,0.8078,3.4382,28,C(=Cc1nccs1)c1cccs1
CN(CCO)c1ccc(C=C(C#N)C#N)cc1F,0.9729113,448.9383,0.8192,2.765,8,c1ccccc1
CC(C)CNc1ccc2c(C=C(C#N)C#N)cccc2c1,0.9696862,475.5706,0.8443,2.492,22,c1ccc2ccccc2c1
CCN(CC)c1cc2c(cc1C=C(C#N)C#N)Cc1cc(Cl)ccc1-2,0.969379,461.9854,0.6102,2.9377,29,c1ccc2c(c1)Cc1ccccc1-2
CCCCN(CCCC)c1ccc(C=C(C#N)C#N)cc1,0.9689856,450.4318,0.658,2.4656,22,c1ccccc1
N#CC(C#N)=Cc1ccc(-c2ccc(-c3ccncc3)s2)s1,0.9684187,452.5937,0.6403,2.8164,17,c1csc(-c2ccc(-c3ccncc3)s2)c1
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,0.9681988,452.4452,0.5887,2.2177,17,c1ccc(N(c2ccccc2)c2ccccc2)cc1
CCCCN1c2ccccc2Sc2cc(C=C(C#N)C#N)ccc21,0.9679076,471.7717,0.6921,2.6153,23,c1ccc2c(c1)Nc1ccccc1S2
CCN(CC)c1ccc(N=Nc2ccc3nccnc3c2)cc1,0.967415,469.9628,0.6304,2.4668,26,c1ccc(N=Nc2ccc3nccnc3c2)cc1
CCN(CC)c1ccc(N=Nc2ccc(CO)cc2)cc1,0.9670207,443.1353,0.7966,2.2504,12,c1ccc(N=Nc2ccccc2)cc1
C=CC(=O)Nc1ccc(C=Cc2ccc(C=C(C#N)C#N)s2)cc1Cl,0.9669577,464.9174,0.5892,2.9498,25,C(=Cc1cccs1)c1ccccc1
CCN(CC)c1ccc2c(-c3ccc(N(C)C)cc3)c(C#N)c(=O)oc2c1,0.9648344,447.1456,0.6361,2.4876,20,O=c1cc(-c2ccccc2)c2ccccc2o1
COc1cc(C=C(C#N)C(=O)C=Cc2ccc(N(C)CCO)cc2)ccc1O,0.9645229,466.8818,0.5417,2.6571,5,O=C(C=Cc1ccccc1)C=Cc1ccccc1
CCN(CC)c1ccc2cc(C=C(C#N)C#N)ccc2c1,0.9641251,477.8735,0.7887,2.4983,25,c1ccc2ccccc2c1
N#CC(C#N)=Cc1ccc(N2CCCC2)cc1,0.9631335,442.4585,0.7242,2.2606,27,c1ccc(N2CCCC2)cc1
CCCCN(CCCC)c1ccc(C=c2[nH]c(=O)c(=Cc3ccc(N(C)C)cc3)s2)cc1,0.9630839,456.091,0.4929,2.7471,15,O=c1[nH]c(=Cc2ccccc2)sc1=Cc1ccccc1
CCC(C)CCN(C)c1ccc(C=C(C#N)C#N)cc1,0.9628129,444.0725,0.7322,3.0712,26,c1ccccc1
N#CC(C#N)=CC1=CC(c2ccccc2)Nc2ccccc2N1,0.9626018,477.3025,0.8179,3.4132,25,C1=CC(c2ccccc2)Nc2ccccc2N1
CCN(CC)c1ccc2oc(=O)c(C(=O)Nc3ccccc3F)cc2c1,0.9625724,442.3476,0.7028,2.1341,5,O=C(Nc1ccccc1)c1cc2ccccc2oc1=O
COc1ccc(-c2sc3ncc[n+](C)c3c2-c2ccc(OC)cc2)cc1,0.9623789,452.8543,0.5019,2.597,2,c1ccc(-c2sc3ncc[nH+]c3c2-c2ccccc2)cc1
N#CC(C#N)=CC=Cc1ccc[nH]1,0.9621827,454.0344,0.5432,3.4285,29,c1cc[nH]c1
