step,n,mean_score,median_score,mean_lam,median_lam,frac_valid,frac_has_lam,frac_clean,mean_qed,mean_sa,n_unique,uniqueness
1,64,0.174966121875,0.0,187.972046875,0.0,0.84375,0.484375,0.5,0.181934375,1.3983765625,64,1.0
2,64,0.2412974328125,0.00011229999999999999,227.20158750000002,307.64570000000003,0.828125,0.5625,0.5625,0.2103265625,1.603503125,64,1.0
3,64,0.169679834375,0.0,187.5991765625,0.0,0.8125,0.453125,0.46875,0.1432328125,1.3291203125,64,1.0
4,64,0.18764515,0.00296975,225.45609375,333.9696,0.890625,0.578125,0.578125,0.2400171875,1.5318625,64,1.0
5,64,0.32321171875,0.01422675,285.2054046875,359.5395,0.859375,0.6875,0.6875,0.2236296875,1.91559375,64,1.0
6,64,0.392705684375,0.25629375,318.263240625,387.56125,0.953125,0.765625,0.765625,0.2225484375,2.2565640625,64,1.0
7,64,0.23179462343749999,0.012214800000000001,250.25726875,350.19809999999995,0.90625,0.640625,0.640625,0.2185875,1.77085,64,1.0
8,64,0.32018115625,0.03125285,312.33031875,365.99365,0.921875,0.78125,0.78125,0.2538859375,2.11469375,64,1.0
9,64,0.336975003125,0.1311391,329.96967812500003,379.66499999999996,0.90625,0.78125,0.78125,0.2110515625,2.274515625,64,1.0
10,64,0.29632515,0.0195906,294.973675,355.72315000000003,0.953125,0.75,0.765625,0.23711875,2.131184375,64,1.0
11,64,0.39026551875,0.18757089999999998,326.628125,389.58125,0.890625,0.796875,0.796875,0.2451203125,2.446596875,64,1.0
12,64,0.4210418296875,0.33931069999999997,300.0671375,398.2217,0.859375,0.6875,0.6875,0.178028125,2.072446875,64,1.0
13,64,0.393910959375,0.2739432,331.9317109375,403.27165,0.90625,0.765625,0.78125,0.19205625,2.3808203125,64,1.0
14,64,0.49443575625,0.61432205,367.6262859375,429.87915,0.921875,0.828125,0.828125,0.19695000000000001,2.4879375,64,1.0
15,64,0.3791005734375,0.18325365,308.4487984375,387.70765,0.875,0.734375,0.734375,0.2053296875,2.146025,64,1.0
16,64,0.48400995,0.5384277500000001,376.5916921875,419.85665,0.90625,0.875,0.875,0.21726875,2.6074125,64,1.0
17,64,0.455511234375,0.5457344,337.9152375,415.93145000000004,0.875,0.78125,0.765625,0.207396875,2.4045859375,63,0.984375
18,64,0.5034857359375,0.50282145,390.761196875,428.67485,0.96875,0.90625,0.921875,0.216609375,2.6736890625,64,1.0
19,64,0.4326842265625,0.46101165,346.9651875,402.4674,0.90625,0.8125,0.8125,0.2214453125,2.38420625,64,1.0
20,64,0.48767652968749997,0.60836045,351.99546875,421.49305000000004,0.90625,0.8125,0.8125,0.2000625,2.3658546875,64,1.0
21,64,0.5290415109375,0.7126926,379.6640453125,415.5288,0.9375,0.890625,0.890625,0.2238859375,2.492078125,64,1.0
22,64,0.5880119484375,0.8425043999999999,397.745375,448.1092,0.953125,0.90625,0.90625,0.20628437500000002,2.755553125,64,1.0
23,64,0.4985247625,0.6563953499999999,373.8274859375,416.20015,0.953125,0.875,0.875,0.2096203125,2.4870265625,64,1.0
24,64,0.5747758734375,0.7853523499999999,358.5374375,450.12585,0.875,0.796875,0.796875,0.166565625,2.3294796875,64,1.0
25,64,0.540127075,0.84263835,364.5927796875,436.3144,0.90625,0.84375,0.84375,0.235340625,2.402121875,64,1.0
26,64,0.586534065625,0.8197052499999999,375.7584171875,444.48245,0.96875,0.84375,0.84375,0.18564375,2.549778125,64,1.0
27,64,0.5306748328125,0.78817095,377.61663125,442.61080000000004,0.96875,0.828125,0.828125,0.1735875,2.6410515625,64,1.0
28,64,0.608398325,0.88627335,392.4380984375,454.07025,0.96875,0.875,0.875,0.216375,2.6493046875,64,1.0
29,64,0.5870398109375,0.8499834500000001,407.86200625,453.91499999999996,0.9375,0.90625,0.890625,0.2459734375,2.7090640625,63,0.984375
30,64,0.527576303125,0.83213235,381.8104,451.99365,0.9375,0.84375,0.828125,0.1864828125,2.6505109375,63,0.984375
31,64,0.695247853125,0.8971572,448.5272453125,464.76935000000003,0.96875,0.96875,0.96875,0.2069046875,3.158559375,64,1.0
