SMILES,SMILES_state,NLL
C=C(C)c1ccc(CC)cc1-c1c(F)c(Br)c(F)c(OCF)c1F,1,50.49
CCN1CCN(C(=O)CC(Cc2cccc(N)c2)C2CCN(C(=O)CCC3CCC3)CC2)CC1,1,48.15
C=C1C(=O)CC(CN)C2CC(C(=O)OC(=O)OCc3ccccc3)SC1N2,1,59.4
Cc1cc(C=C2SC(=O)N(CC(=O)Nc3cccc(C(F)(F)F)c3)C2=O)ccc1Sc1ccc(Cl)cc1,1,34.95
COc1cccc(-n2nc(C)cc2NC(=O)C(NC(=O)c2ccc(Cl)cc2)C(C)C)c1,1,36.96
CCCCCCCC(=O)OC(=O)CCC(=O)OC(CC)CCCCCCC,1,28.52
CCCNCCCN(N)c1ccccc1,1,25.58
COCCOCCOCCCOC1CCNC1,1,23.41
Cc1c(SC(=O)c2cccnc2)cccc1N1CCCC1,1,35.91
O=C1C=C(C(=O)COCc2ccccc2)CO1,1,27.1
COC(=O)CC(C)n1cccc([N+](=O)[O-])c1=O,1,28.81
Cc1ccc(S(=O)(=O)N2CCCC(C(=O)OCCc3cn[nH]c3C)C2)cc1,1,35.17
OCN1CCN(Cc2ccccc2O)CC1,1,26.61
Cc1cccc(-c2noc(CN(Cc3ccc(C(=O)O)cc3)C(C)C)n2)c1,1,30.0
Cc1ccc(C2C(C(N)=O)N2OC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1,39.76
Cc1c(CCC(C)C)n(CCC(C)C)c2c(C)cccc12,1,35.54
CCCCCCC(C)C(C)C(C(C)C)C(C)O,1,30.49
CC(=O)c1ccc(NC(=O)C(C)N(C)CC2CCC2)cc1,1,31.45
O=C(NC1COCCC12CCOC2)c1cc2cccc(OC(F)(F)F)c2[nH]1,1,38.89
CCCOc1cccc(C2C(=C(O)c3c(C)[nH]n(-c4ccccc4)c3=O)C(=O)C(=O)N2CCN(C)C)c1,1,33.98
Fc1ccc(-c2ccc(-c3ccc(Cl)cc3Cl)c(C(F)(F)F)c2)c(Cl)c1C(F)(F)F,1,43.25
