SMILES,SMILES_state,NLL
CCCCCCC(=Cc1ccc(C=C2SC(=S)NC2=O)s1)C(=O)O,1,28.49
C=CCC(C=C1Sc2ccccc2C=C1c1ccccc1C=Cc1ccc2c(c1)c1ccccc1n2CC)=C(C#N)C#N,1,47.15
Cc1ccccc1C1=C(c2c(O)ccc3ccccc23)c2c(ccc3ccccc23)OC(c2ccccc2)=C1C#N,1,41.61
c1ccc(COc2cccc(OCc3ccccc3)c2-c2nc3cccc(-c4ccccc4)n3n2)cc1,1,32.25
CCCCOc1ccc(C(=Cc2cccn2-c2ccc([N+](=O)[O-])cc2)c2ccc([N+](=O)[O-])cc2)cc1,1,35.5
Nc1cc(S(=O)(=O)[O-])c2cc(S(=O)(=O)[O-])c(N=Nc3cc(C(=O)O)cc4c(O)c(S(=O)(=O)[O-])ccc34)cc2c1,1,48.28
N#CC(=Cc1ccc(-c2ccc3c(c2)C(=Cc2ccc(-c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)c5nsnc45)cc2)c2ccccc2N3c2ccccc2)s1)C(=O)O,1,38.88
N#CC(=Cc1ccc(C=Cc2cc(-c3ccc(-c4ccc(-c5ccccc5)[nH]4)s3)sc2-c2c(-c3ccc(C=N)cc3)ccc3c2Sc2ccccc2N3c2ccc3ccccc3c2)cc1)C(=O)O,1,72.73
COc1cc(-c2c(OC)c(C=CC(=O)c3ccc4c(c3)-c3ccccc3C4=O)cc3ccccc23)ccc1C=C(C#N)C(=O)O,1,46.9
CCCCCCCCCCn1c(C=Cc2ccc(N(c3ccc(C)cc3)c3ccc(C)cc3)c(C=Cc3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)c2)nc2ccccc21,1,36.56
COc1ccc(NC=Cc2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,1,25.68
COc1ccc(N(c2ccc(O)cc2)c2ccc(Nc3oc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4nc5nc(N(C)C)sc5cc34)cc2)cc1,1,52.74
c1ccc(-c2ncc3[nH]c(-c4ccncc4)nc3n2)cc1,1,22.51
COc1ccc(-c2ncc3ccc(-c4ccc(N(C)C)cc4)nn23)cc1,1,21.98
COc1ccc(C=Cc2ccc(N(c3ccc(C=Cc4ccc(C=C(C#N)C#N)s4)cc3)c3ccc(OC)cc3)cc2)cc1,1,26.74
N#CC(=Cc1ccc(-c2ccc(C=C(C#N)C(=O)O)s2)s1)C(=O)O,1,18.24
O=C(Nc1ccccc1O)c1ccccc1,1,18.14
COc1ccc(-c2ccc3c(c2)nc(-c2ccc(C=C(C#N)C(=O)O)s2)c2c3c3ccccc3n2C2CCN(C(C)=O)CC2)cc1,1,43.9
Cc1cc(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c(C#N)n1-c1ccc(C(C)C)cc1,1,31.96
N#Cc1ccc(C=C(C=C2c3ccccc3-c3ccccc32)c2ccc(-c3ccc(C=O)cc3)cc2)cc1,1,29.61
CN(C)c1ccccc1C=Nc1ccc(C(=O)O)c(O)c1,1,24.6
COC(=O)c1ccc(C#Cc2sc(C#Cc3ccc(C=C(C#N)C(=O)O)s3)nc2-c2ccc(C#N)cc2)cc1,1,34.35
C#CC(Oc1ccc(-c2nn(-c3ccccc3)nc2-c2cccs2)cc1)=C(C(=O)OCC)C(=O)OCC,1,40.56
CN(CCO)c1ccc(C=CC(=O)c2ccc(NC(=O)C(c3ccccc3)c3ccccc3)cc2)cc1,1,20.97
COc1cc(C=C(C#N)C(=O)O)ccc1C#Cc1ccccc1-n1c2ccccc2c2ccccc21,1,32.99
CCOC(=O)C(C#N)=Cc1cccc(-c2ccc(N3CCCCC3)cc2)c1,1,30.86
N#Cc1ccc(-c2cc3cccnc3c3nc4cc(-c5cccnc5)ccc4nc23)cc1,1,37.72
CN(C)c1ccc(C=Cc2cc(=O)n3c(-c4ccccc4)cccc3n2)cc1,1,25.94
CCN(Cc1ccccc1C)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1C,1,35.08
c1ccc(-c2cc3c(-c4cccc5c4sc4ccccc45)ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c3o2)cc1,1,31.53
CCC1CC[N+](C)(CC)C1C,1,24.72
Cn1nc(-c2cccs2)c2cccc(S(=O)(=O)c3cccc4ccccc34)c21,1,34.43
O=C1c2ccccc2-c2cc(N3CCCCC3)ccc21,1,19.24
N#CC(=Cc1ccc(C2Sc3ccccc3C=C2c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)C(=O)O,1,31.29
c1ccc(N(c2cccc(-c3cccs3)c2)c2cc3ccccc3c3ccccc23)cc1,1,27.51
CCCCCCCCc1cc2cc3ccc4ccc5cc3c3c(=O)c(cc6ccc7ccc8c(=O)n(CCCCCCCC)c(-c9cccn9CCCCCCCC)cc7c6c48)n5c3c2n1CCCCCCCC,1,88.76
COc1ccc(N(c2ccc(C=Cc3cc(C=CS)[o+]c(C=C(C#N)C(=O)O)c3)cc2)c2ccccc2C)cc1,1,40.8
COC(=O)c1nccc(C#N)c1-n1c(-c2ccccc2OC)nc2cc(-c3ccccc3)cc(C)c21,1,42.13
O=Cc1cc(F)c(-c2ccc(C(=O)O)cc2)cc1Br,1,30.39
C=CCN(CC=C)c1ccc(C=C(c2ccccc2)c2cc3ncccc3o2)cc1,1,32.74
CN(C)c1ccc(C=Cc2ccc(-c3ccc(C(=O)O)s3)s2)cc1,1,20.31
COC(=O)C=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,1,14.98
Nc1ccc2c(N3CCCCCC=C3c3ccc(C(F)(F)F)cc3)c3ccc(OCCN4CCN(CCO)CC4)cc3c(-c3ccccc3)c2n1,1,58.64
CN(C)c1ccc(-c2c3c(CCC(=O)[O-])cc(=O)cc-3oc3cc(N(C)CCO)ccc23)cc1,1,39.85
N#CC(=Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1cc(F)c(C=C(C#N)C(=O)O)s1)C(=O)O,1,27.08
Cc1cc2n(c(=O)c1)C(=O)c1cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc1-2,1,34.13
C#CCOC(=O)c1ccc(-c2ccc3cc2C(CCCC)(CCCC)c2cc(C=C(C#CC(C)(C)C)C(=O)O)ccc2-3)c(-c2ccc(-c3ccc(C=C(C#N)C(=O)O)s3)s2)c1,1,68.34
CCOC(=O)c1sc2ccc(-c3ccc(O)cc3)cc2c1-c1ccccc1,1,33.3
CN(C)c1ccc(-c2nc(-c3cccs3)[nH]c2-c2ccc(C#N)cc2)cc1,1,24.87
CCCCC(C)B=c1oc2cccc3cccccc1c32,1,36.19
c1ccc2c(c1)c1cc3c4c(c5cccn(c4cc5)c23)c2ccc(-n3c4ccccc4c4ccccc43)ccc12,1,41.44
COc1cc(O)ccc1-c1oc2cc(O)ccc2c1[NH+]([O-])O,1,35.7
CC(C)(C)C1=CC(C=Cc2cccc(N3c4ccccc4C4CCCC43)c2)=CC(=Cc2ccc(CCC(=O)O)cc2)C1,1,42.99
CC(C)c1cc(-c2cc3oc4cc(=[N+](C)C)ccc-4cc3cc2N(C)C)c(C(C)C)c(C(C)C)c1,1,35.9
CCCCCCN1c2ccccc2Sc2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc21,1,19.24
CCCCCOC(=O)CN(Cc1ccc(-c2ccc3c(c2)oc2cc(N(CC)CC)ccc23)s1)C1CC(C=O)CC(C)(C)C1,1,53.19
O=c1c2ccccc2n(-c2ccccc2)c2cc(N(c3ccccc3)c3ccccc3)ccc12,1,22.04
O=C(O)c1ccc(C=Cc2ccc([N+](=O)[O-])cc2)s1,1,22.92
COc1ccc(-c2csc(-c3ccc4ncccc4c3)n2)cc1,1,25.51
CCN1CC[n+]2c(ccc3ccccc32)C=C1Cc1ccc(CC(C)(C)C(=O)O)cc1,1,42.58
Cc1ccc(-c2nnc(-c3ccc(-c4ccc(C=Cc5ccc(C)c(C)c5)s4)o3)o2)cc1,1,33.4
Cc1ccc(-c2ccc3c(c2)c2cc4c(-c5ccccc5F)c5c(c(-c6cccs6)c4nc2n3C)OCO5)s1,1,54.04
CCOC(=O)c1nc(-c2ccc(-c3nc(OC)no3)cc2)nc2c1[nH]c1ccccc12,1,40.45
O=C(c1ccc(C(F)(F)F)cc1)c1cncc(CC2(c3ccc(-c4ccccc4)cc3)C(=O)C(N(c3ccccc3)c3ccccc3)=Cc3ccccc32)c1,1,58.55
CC(C)COc1cccc2c1-c1ccccc1C2=O,1,22.77
CN(C)c1ccc(C(=O)C=Cc2ccc(N(C)CCO)cc2)cc1,1,14.01
O=C(c1ccccc1)c1[nH]c2cc3sc4ccccc4[nH]c=3ccc3c2c1C(=O)O3,1,42.96
CC(C#N)=NC(=O)OC(C)(C)C,1,19.67
CCC1(O)CCCCC2(C1)c1ccc(C(=O)NS(=O)(=O)Cc3cccs3)cc1-c1ccc(Cl)cc12,1,53.32
CCCCOc1ccc(N(c2ccc(C=C(C#N)C(=O)O)cc2)c2ccc(C=C3SC(=S)NC3=O)c(OC)c2)cc1,1,37.21
Cc1ccc2c(c1)C(=O)c1ccccc1C2,1,21.28
